"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";542,55;0,954;208,39;67,2;0,976;134,662;0,716;0,27;0,106;0,11;410,854;395,286;139,592;63,204;55,43;55,832;0,846;179,828;65,6;0,846;117,368;0,622;0,22;0,074;0,13;35,2;41,934;11;4,232;7
"2";1264,292;1,056;211,78;73,2;1,118;134,096;0,744;0,254;0,106;0,094;983,85;850,502;283,698;151,3;122,916;647,8;1,028;215,942;71,6;1,074;138,928;0,75;0,28;0,114;0,102;485,914;444,744;191,336;70,098;64,322
"3";957,872;1,006;211,122;70,4;1,042;136,558;0,73;0,278;0,106;0,094;694,934;656,182;300,714;87,778;77,218;515,286;1,008;217,59;70,8;1,028;138,926;0,75;0,268;0,118;0,114;407,46;386,396;135,75;73,644;70,832
"4";44,302;0,888;187,01;69,6;0,852;123,538;0,636;0,286;0,094;0,106;30,032;33,4;11,202;4,868;5,3;149,054;0,936;205,396;68;0,962;132,036;0,69;0,216;0,124;0,124;112,67;109,318;31,576;24,386;19,338
"5";2023,482;1,066;219,696;71;1,118;141,39;0,774;0,238;0,112;0,098;1555,774;1367,744;533,446;218,2;175,762;299,564;1,028;211,714;71;1,022;137,116;0,728;0,31;0,1;0,102;221,144;212,564;91,144;30,89;32,16
"6";230,028;0,958;204,668;69;0,96;133,196;0,704;0,292;0,102;0,102;166,43;168,52;64,292;25,066;24,268;192,002;1,004;209,836;71,6;1,002;138,586;0,726;0,32;0,098;0,104;141,764;139,434;61,018;19,918;18,922
"7";287,504;0,938;198,72;69,2;0,956;129,304;0,698;0,262;0,092;0,108;217,792;209,49;56,994;34,04;31,402;276,314;0,856;193,532;65,6;0,892;125,728;0,676;0,208;0,096;0,112;192,842;210,536;51,74;31,778;35,174
"8";864,008;1,034;205,06;71;1,072;132,822;0,714;0,318;0,094;0,088;604,588;547,058;315,182;64,446;51,984;225,206;0,836;183,052;63;0,852;119,88;0,632;0,27;0,086;0,106;154,888;162,484;66,884;19,4;20,92
"9";466,354;1,072;215,648;72,6;1,102;140,146;0,752;0,3;0,104;0,098;333,888;314,658;165,314;41,51;39,662;511,896;0,962;203,062;69,8;0,968;131,546;0,702;0,304;0,11;0,112;363,824;363,978;153,684;52,888;53,492
"10";877,75;1,03;223,844;71;1,11;143,508;0,774;0,304;0,124;0,114;712,874;600,392;225,81;115,892;95,498;867,942;1,05;217,942;72,8;1,128;138,31;0,768;0,242;0,116;0,106;689,708;610,962;179,22;115,686;102,458
"11";466,036;1,018;215,038;71;1,044;139,686;0,748;0,26;0,12;0,108;356,038;335,774;111,46;63,892;55,342;561,242;1,004;204,108;69,6;1,04;132,76;0,71;0,292;0,1;0,096;415,306;382,718;159,776;58,67;52
"12";402,298;0,986;206,436;70;1,062;133,27;0,726;0,248;0,106;0,098;293,572;274,648;98,81;38,876;37,188;138,044;1,024;207,282;70;1,032;134,852;0,71;0,272;0,102;0,102;101,866;95,456;37,748;14,546;13,118
"13";24,624;0,852;196,316;65,6;0,88;127,234;0,666;0,242;0,09;0,116;15,574;19,346;5,628;2;3,106;211,478;0,998;206,234;69,6;0,986;133,208;0,706;0,3;0,124;0,106;153,02;152,732;62,714;29,612;25,234
"14";82,234;0,934;208,604;71,4;0,974;134,42;0,704;0,262;0,098;0,142;55,482;60,132;24,882;6,964;9,518;235,4;0,83;177,936;64,4;0,84;119,416;0,608;0,242;0,082;0,112;158,618;164,438;65,476;19,924;23,362
"15";1121,864;1,008;212,22;70;1,046;136,612;0,742;0,25;0,122;0,11;876,596;786,092;268,998;154,878;118,458;408,762;1,028;212,95;71;1,088;138,872;0,744;0,25;0,114;0,106;317,57;275,554;101,912;44,752;39,268
"16";1909,494;1,036;207,92;71;1,072;132,346;0,724;0,292;0,11;0,104;1381,566;1269,418;577,078;206,524;185,204;1012,794;1,046;220,114;71;1,11;140,194;0,766;0,25;0,138;0,116;800,638;702,98;222,724;164,514;127,714
"17";798,984;0,914;176,872;66,6;0,876;115,46;0,618;0,286;0,078;0,106;523,864;542,79;284,532;65,242;69,466;223,232;0,972;200,312;68,8;0,968;130,056;0,698;0,266;0,106;0,11;151,852;160,046;56,534;22,08;22,236
"18";2332,514;1,094;224,854;72,8;1,174;141,056;0,792;0,238;0,124;0,098;1873,288;1571,57;553,318;300,57;223,04;1544,108;1,034;210,084;69,8;1,068;134,532;0,736;0,272;0,112;0,102;1157,404;1065,37;407,57;184,088;156,818
"19";715,728;1,06;215,118;71,6;1,096;139,656;0,748;0,278;0,108;0,094;538,24;482,054;190,532;75,094;68,04;1227,466;1,006;204,91;71,4;1,072;128,68;0,718;0,274;0,102;0,09;897,714;826,192;326,298;134,06;112,912
"20";1403,778;1,05;220,838;70,6;1,132;141,076;0,774;0,274;0,114;0,098;1084,516;952,452;396,378;148,142;128,622;1929,07;1,094;221,548;72,4;1,166;140,652;0,774;0,276;0,112;0,094;1514,448;1280,214;517,256;221,388;170,562
