"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";573,994;0,996;200,136;70,6;1,022;130,992;0,696;0,3;0,096;0,092;415,552;369,314;192,026;52,242;43,794;1122,894;1,018;201,468;70,2;1,048;128,644;0,7;0,296;0,098;0,072;924,98;793,088;177,338;183,752;137,032
"2";239,572;0,938;197,888;70,6;0,932;129,636;0,682;0,276;0,11;0,098;171,494;176,142;60,242;31,824;25,944;270,188;0,868;193,958;66,8;0,876;124,43;0,67;0,252;0,108;0,13;196,386;217,026;59,484;44,276;46,228
"3";625,916;0,99;209,028;67;1,054;133,846;0,724;0,268;0,108;0,098;478,912;434,084;145,332;88,078;75,222;914,698;1,028;215,674;68,6;1,144;138,482;0,75;0,298;0,102;0,088;699,51;594,278;294,626;88,218;70,308
"4";372,464;0,984;209,442;68,2;1;133,132;0,718;0,296;0,114;0,12;270,72;269,938;104,992;48,82;48,784;479,726;0,944;200,76;66,4;1,042;129,188;0,69;0,302;0,098;0,094;336,64;321,37;139,26;46,474;43,702
"5";532,59;1,026;211,312;70,2;1,108;136,74;0,736;0,29;0,1;0,086;399,582;354,996;147,606;56,006;46,082;399,616;1,064;217,7;70,6;1,098;140,964;0,756;0,288;0,122;0,11;314,748;280,682;106,438;55,166;44,494
"6";159,318;0,986;206,466;69,8;0,998;135,724;0,726;0,274;0,108;0,116;126,896;116,6;39,718;21,602;18,37;114,82;0,838;171,906;66,2;0,84;111,346;0,624;0,228;0,08;0,098;72,112;84,368;27,462;8,97;11,202
"7";710,798;1,038;214,616;72;1,076;137,926;0,76;0,222;0,13;0,114;563,682;503,732;128,712;114,798;92,684;853,742;1,05;219,656;72,6;1,096;142,214;0,768;0,27;0,114;0,098;695,58;590,514;189,244;119,148;94,74
"8";374,56;1,102;213,192;73,6;1,154;135,68;0,742;0,278;0,104;0,088;287,786;248,008;88,618;38,856;30,586;425,458;1,07;216,904;72,2;1,106;140,054;0,752;0,29;0,11;0,1;322,264;289,608;119,874;48,506;42,062
"9";389,248;0,804;185,982;59,4;0,95;120,134;0,654;0,252;0,08;0,086;265,746;261,826;98,084;28,206;27,664;150,806;0,952;194,71;69,8;0,968;127,416;0,674;0,296;0,084;0,102;105,598;106,142;38,646;17,31;15,902
"10";421,744;1,004;206,274;71,2;1,008;134,168;0,72;0,28;0,104;0,1;303,63;301,368;107,222;47,156;46,582;465,256;1,048;219,694;70,4;1,114;142,002;0,764;0,248;0,122;0,108;363,354;327,26;91,56;73;58,34
"11";539,156;1,07;214,78;72,4;1,094;139,786;0,75;0,304;0,104;0,102;388,016;365,838;184,992;50,066;50,298;110,208;1,042;209,9;72,4;1,074;135,876;0,736;0,288;0,112;0,11;81,16;75,762;32,588;11,668;10,668
"12";419,254;0,91;187,326;67;0,906;122,074;0,646;0,26;0,09;0,088;298,052;304,518;97,73;47,428;46,684;77,278;0,61;146,392;59,6;0,622;94,818;0,502;0,198;0,034;0,1;45,568;58,062;15,022;3,652;6,07
"13";936,83;1,132;208,984;76;1,188;138,342;0,744;0,294;0,088;0,076;691,26;584,162;258,702;76,748;65,512;502,016;1,146;221,968;75,4;1,17;144,31;0,77;0,342;0,092;0,082;359,432;328,968;164,508;40,644;36,188
"14";578,002;1,038;207,686;72,6;1,062;135,456;0,734;0,272;0,108;0,086;426,752;395,922;156,014;61,972;53,122;573,578;1,134;222,718;75,6;1,19;144,374;0,782;0,302;0,114;0,096;453,334;379,436;163,286;67,782;54,228
"15";892,298;1,112;220,972;74,4;1,176;144,65;0,782;0,262;0,12;0,102;675,218;588,168;246,476;93,218;80,104;466,964;1,094;214,212;74,2;1,13;139,766;0,76;0,284;0,112;0,098;352,592;313,062;134,614;53,172;44,424
