"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";492,192;1,044;209,25;72;1,098;135,7;0,738;0,296;0,094;0,086;355,274;328,954;144,898;41,016;35,998;1112,466;1,028;209,424;71,4;1,072;132,776;0,73;0,27;0,104;0,098;865,07;769,774;249,62;141,88;125,02
"2";1094,916;0,998;211,906;67,4;1,124;135,518;0,742;0,274;0,1;0,094;832,878;720,71;285,352;110,1;95,688;1676,434;1,122;222,196;74,4;1,248;139,34;0,782;0,288;0,12;0,098;1306,114;1048,992;464,666;209,702;167,844
"3";934,792;0,98;201,428;70,6;0,978;131,214;0,7;0,286;0,098;0,104;747,404;665,756;221,37;138,44;119,728;395,642;0,956;207,502;68,8;0,986;133,59;0,724;0,24;0,112;0,116;298,518;287,84;84,56;47,788;43,856
"4";1317,378;1,02;209,008;71,6;1,072;133,378;0,724;0,256;0,114;0,102;1053,19;880,322;313,71;189,6;143,51;2017,634;1,118;237,312;71,6;1,202;147,952;0,828;0,218;0,152;0,114;1788,804;1413,666;382,564;380,264;266,808
"5";412,246;0,942;200,328;69,2;0,948;129,54;0,694;0,28;0,112;0,118;294,848;303,374;102,396;54,704;53,87;665,78;1,048;212,494;71,8;1,06;136,534;0,744;0,288;0,108;0,104;498,864;471,812;190,236;76,298;72,05
"6";930,014;1,054;210,954;72,2;1,094;134,938;0,742;0,274;0,102;0,086;707,696;623,19;227,962;106,238;88,69;1078,948;0,996;207,806;68,6;1,048;135,49;0,736;0,214;0,108;0,098;717,432;720,89;298,046;74,342;75,684
"7";1003,928;1,046;219,068;72;1,072;141,846;0,752;0,316;0,108;0,102;746,678;688,672;379,984;105,476;97,704;532,73;1,044;213,034;72,2;1,092;137,458;0,74;0,27;0,114;0,108;410,912;354,712;140,258;64,808;52,304
"8";413,688;0,98;201,908;70,2;0,982;131,658;0,704;0,284;0,094;0,108;297,81;294,148;107,964;43,544;44,99;945,036;1,056;213,942;71,2;1,09;137,136;0,746;0,254;0,116;0,096;746,538;636,258;207,076;134,3;94,784
