"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";1371,552;1,04;211,648;72,6;1,1;134,538;0,736;0,278;0,122;0,104;1095,084;917,366;323,6;198,112;151,054;1701,576;1,12;220,91;74,6;1,242;138,572;0,778;0,294;0,12;0,098;1317,08;1063,786;480,702;207,138;167,77
"2";1753,102;1,036;217,52;70,4;1,11;140,27;0,76;0,288;0,11;0,094;1302,61;1176,924;505,85;199,364;168,446;2039,022;1,112;235,328;72;1,188;146,906;0,822;0,222;0,148;0,114;1802,54;1431,3;386,97;383,346;270,766
"3";361,414;0,986;202,488;70,4;0,986;133,402;0,704;0,272;0,088;0,104;257,706;255,608;97,742;32,064;34,234;946,968;1,018;209,832;69,4;1,078;135,222;0,738;0,252;0,11;0,102;703,972;646,326;246,586;105,714;95,674
"4";657,56;0,998;208,762;69,8;1,01;134,21;0,726;0,244;0,122;0,118;486,484;475,282;159,22;89,63;79,982;630,086;0,954;197,002;69,2;0,954;126,478;0,688;0,282;0,1;0,1;446,662;445,692;175,978;65,81;61,78
"5";934,54;0,964;190,776;70,6;0,966;126,03;0,666;0,306;0,074;0,08;616,986;637,836;266,788;66,876;75,262;575,362;1;204,026;70,6;0,984;134,234;0,706;0,29;0,088;0,094;405,966;408,2;177,806;47,986;49,714
"6";219,648;0,978;194,85;69,2;0,946;127,26;0,676;0,32;0,086;0,1;154,374;156,506;63,836;20,118;20,406;900,124;0,984;202,896;68,8;0,996;130,28;0,71;0,282;0,108;0,104;680,454;631,6;239,45;123,244;100,462
"7";959,748;1,044;214,096;70,8;1,098;138,552;0,754;0,256;0,122;0,106;718,486;659,24;250,962;118,432;97,916;950,018;1,114;223,73;72,6;1,176;145,166;0,784;0,276;0,118;0,094;744,784;634,648;263,596;110,99;81,952
"8";826,81;1,016;213,14;69;1,052;138,76;0,742;0,27;0,11;0,106;635,978;581,566;221,178;97,4;91,968;597,742;1,008;209,39;69,6;1,082;134,55;0,738;0,26;0,1;0,09;462,066;407,626;147,53;70,844;56,08
"9";1573,704;1,164;226,002;75,2;1,232;147,326;0,792;0,316;0,106;0,08;1164,462;978,056;547,906;134,126;102,098;545,012;0,974;204,79;70;0,98;132,452;0,708;0,274;0,118;0,116;398,404;397,806;136,792;75,994;68,44
"10";979,068;1,018;211,08;69,6;1,056;137,426;0,74;0,238;0,118;0,106;712,132;687,108;263,068;113,042;97,536;580,748;0,984;204,392;69,6;0,986;131,594;0,716;0,264;0,108;0,112;431,324;418,338;132,338;71,854;68,154
"11";912,768;1,006;206,69;69,8;1,058;133,42;0,732;0,254;0,094;0,088;656,576;635,672;233,8;83,044;73,516;966,794;1,016;207,39;70,8;1,036;133,886;0,724;0,254;0,102;0,102;709,964;673,834;244,42;102,3;97,444
"12";1381,144;1,042;215,634;71,4;1,122;138,688;0,762;0,238;0,112;0,098;1052,63;937,95;319,19;159,744;139,106;1407,294;1,002;206,722;69;1,108;132,232;0,726;0,286;0,092;0,084;1053,786;887,688;343,266;138,606;110,256
"13";503,488;1,108;219,298;74;1,16;141,474;0,774;0,3;0,116;0,102;387,674;336,428;149,228;56,046;49,184;1280,548;1,06;205,07;74;1,052;133,188;0,71;0,33;0,09;0,086;1031,574;853,656;367,4;159,374;127,864
"14";910,314;1,01;218,69;70,6;1,07;140,4;0,764;0,278;0,126;0,114;702,742;647,564;202,24;120,808;106,326;858,714;0,956;194,586;69,2;0,956;127,49;0,676;0,256;0,088;0,096;629,878;600,962;201,486;87,968;86,624
"15";1425,91;1,104;221,662;72,6;1,162;142,124;0,778;0,296;0,114;0,1;1121,938;954,566;403,732;173,532;149,466;1561,416;1,03;207,138;71,2;1,054;133,376;0,722;0,276;0,108;0,102;1162,91;1073,08;410,04;180,378;158,33
"16";316,97;0,956;195,98;69,6;0,946;126,254;0,686;0,312;0,098;0,102;213,706;221,478;89,08;24,538;23,68;966,504;1,104;222,014;72,4;1,156;143,962;0,776;0,266;0,118;0,102;762,28;642,844;240,632;122,71;98,278
"17";1782,576;1,016;204,18;70,4;1,038;132,698;0,704;0,272;0,098;0,086;1287,292;1194,118;451,278;178,826;144,162;1857,692;1,102;225,752;72,8;1,17;143,528;0,79;0,252;0,12;0,106;1504,486;1250,576;411,678;274,696;210,268
"18";1015,428;0,95;215,994;65,2;1,104;134,884;0,754;0,276;0,118;0,102;772,612;693,502;292,2;127,496;99,584;808,982;1;206,142;69,4;1,042;133,934;0,722;0,238;0,106;0,098;590,496;561,042;192,638;90,036;83,006
"19";1043,384;1,006;214,248;69,4;1,068;138,42;0,742;0,296;0,112;0,1;755,078;710,418;308,098;108,21;91,822;1481,052;1,036;203,696;71,4;1,072;129,93;0,724;0,28;0,106;0,1;1085,772;987,554;404,022;159,906;140,554
"20";1600,828;0,988;213,67;68,2;1,074;135,326;0,75;0,226;0,12;0,108;1224,514;1118,282;347,542;208,182;171,878;1314,604;1,042;216,704;71,8;1,11;137,998;0,764;0,246;0,12;0,104;1026,952;905,96;278,82;180,6;143,424
"21";1234,154;1,066;204,622;73,2;1,098;132,58;0,724;0,276;0,094;0,076;931,702;821,154;289,846;140,218;106,428;1735,724;1,038;203,536;72,4;1,042;133,172;0,712;0,31;0,088;0,086;1233,342;1140,408;598,32;147,93;123,478
"22";551,008;1,006;213,834;70,2;1,03;138,998;0,75;0,244;0,12;0,11;419,136;395,392;127,298;65,236;57,994;648,712;0,998;207,146;69,6;1,05;132,73;0,726;0,264;0,112;0,1;490,896;439,318;161,46;82,646;63,814
"23";848,39;1,004;196,904;71,2;0,994;127,96;0,686;0,282;0,088;0,09;624,104;597,25;219,76;110,834;96,746;2237,39;1,024;210,648;69,8;1,088;134,564;0,732;0,268;0,12;0,1;1723,89;1527,778;583,552;318,858;243,93
"24";1324,704;1,122;220,748;74,8;1,208;139,756;0,77;0,306;0,108;0,088;1049,934;828,466;389,386;148,752;109,074;1577,96;1,102;230,574;72,8;1,17;148,102;0,8;0,33;0,116;0,102;1242,994;1060,854;551,608;161,87;133,114
"25";1742,702;1,012;210,472;68,6;1,122;133,212;0,742;0,254;0,112;0,096;1314,004;1149,942;390,422;222,368;179,31;1089,168;1,104;225,426;72;1,17;145,526;0,794;0,256;0,13;0,108;873,726;722,7;284,92;141,864;110,076
"26";982,964;1,026;218,69;69,2;1,088;139,77;0,764;0,27;0,118;0,108;758,022;679,14;259,898;108,132;94,324;701,152;1,04;204,56;71,8;1,048;132,664;0,716;0,288;0,104;0,094;551,932;480,062;177,438;91,548;71,986
"27";873,03;1,07;207,11;73,8;1,092;134,566;0,734;0,28;0,104;0,094;645,554;571,956;268,164;84,48;76,136;994,362;1,17;234,866;74,4;1,234;149,144;0,832;0,27;0,13;0,092;918,19;681,886;195,956;181,044;115,302
"28";1467,876;1,032;221,044;69,8;1,074;140,806;0,772;0,212;0,146;0,124;1252,31;1062,226;267,748;279,384;221,35;1716,11;1,088;218,29;73,2;1,148;140,102;0,76;0,282;0,11;0,09;1374,086;1165,74;468,06;222,61;166,062
"29";830,786;1,022;199,906;70,8;1,06;129,342;0,71;0,26;0,086;0,086;623,866;546,084;198,978;82,656;60,956;1379,36;1,028;214,582;71,8;1,046;137,898;0,742;0,292;0,118;0,11;1044,208;962,466;449,956;155,552;137,674
