;x
1;https://www.vlr.gg/174361/dd-team-vs-totoro-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-ro16
2;https://www.vlr.gg/174362/kpg-vs-number-one-player-fgc-valorant-invitational-2023-act-1-qualifiers-ro16
3;https://www.vlr.gg/170974/maru-gaming-vs-rio-company-world-cyber-games-challengers-league-korea-split-1-ubf
4;https://www.vlr.gg/170975/dplus-esports-vs-shadow-corporation-world-cyber-games-challengers-league-korea-split-1-lr2
5;https://www.vlr.gg/174363/drg-esports-club-vs-night-wings-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-ro16
6;https://www.vlr.gg/174364/kingzone-vs-monarch-effect-fgc-valorant-invitational-2023-act-1-qualifiers-ro16
7;https://www.vlr.gg/167362/team-liquid-vs-team-secret-champions-tour-2023-lock-in-s-o-paulo-omega-ro16
8;https://www.vlr.gg/165648/qlash-vs-gmt-esports-challengers-league-italy-rinascimento-split-1-w5
9;https://www.vlr.gg/165649/macko-esports-vs-axolotl-challengers-league-italy-rinascimento-split-1-w5
10;https://www.vlr.gg/167363/natus-vincere-vs-kr-esports-champions-tour-2023-lock-in-s-o-paulo-omega-ro16
11;https://www.vlr.gg/167364/zeta-division-vs-leviat-n-champions-tour-2023-lock-in-s-o-paulo-omega-ro16
