"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1188,848;1,002;211,408;70,4;1,076;136,276;0,738;0,27;0,108;0,096;863,346;799,35;335,622;113,134;104,358;1376,36;1,12;225,734;74,2;1,192;143,034;0,79;0,264;0,12;0,096;1122,296;926,42;343,628;179,59;137,054;"0"
"2";1052,522;1,058;210,712;72,8;1,096;134,802;0,742;0,28;0,104;0,088;802,67;702,878;256,18;125,828;101,476;1116,926;0,974;201,618;67,6;1,014;132,056;0,714;0,214;0,108;0,104;739,164;749,884;307,208;76,612;79,516;"1"
"3";829,484;0,94;196,2;68,8;0,944;128,568;0,68;0,262;0,098;0,104;612,946;582,29;197,092;87,368;85,392;1039,388;1,006;214,274;69,2;1,066;138,346;0,742;0,294;0,112;0,1;751,054;707,398;307,252;107,376;90,96;"0"
"4";1711,966;1,006;210,5;68,4;1,122;133,102;0,744;0,254;0,114;0,096;1291,744;1127,012;384,448;217,842;174,804;960,96;1,016;211,092;70;1,062;137,354;0,742;0,238;0,118;0,104;698,996;672,486;259,384;110,946;95,262;"1"
"5";966,534;1,18;237,296;74,6;1,248;150,494;0,842;0,268;0,136;0,096;901,878;660,748;188,126;177,498;111,222;221,92;1,062;214,69;73,8;1,102;138,432;0,762;0,292;0,112;0,088;171,722;146,604;57,7;22,474;18,828;"1"
"6";523,274;1,094;222,636;73,2;1,154;143,83;0,778;0,27;0,126;0,094;409,01;354,6;142,838;60,55;47,482;516,468;1,098;215,428;73;1,126;139,612;0,748;0,314;0,11;0,096;416,654;346,17;146,93;74,836;52,83;"0"
"7";365,61;1,048;218,09;71,6;1,1;141,512;0,768;0,25;0,126;0,112;283,98;258,12;81,886;51,098;45,776;484,256;1,112;219,7;74,4;1,168;141,852;0,776;0,298;0,118;0,102;371,45;324,47;143,1;53,796;47,584;"0"
"8";809,13;1,064;206,414;74,2;1,098;134,044;0,732;0,274;0,102;0,096;601,902;527,578;248,904;78,444;69,112;848,908;1,14;234,716;74;1,198;149,672;0,818;0,25;0,124;0,104;725,074;581,914;183,358;129,784;94,28;"0"
"9";2236,178;1,022;210,83;69,6;1,09;134,7;0,734;0,268;0,12;0,1;1723,978;1528,75;585,27;319,472;244,026;694,626;1,028;217,23;69,8;1,12;138,99;0,762;0,244;0,108;0,096;554,02;471,044;159,466;88,59;67,866;"1"
"10";844,936;1,008;198,052;71,4;1,002;128,834;0,69;0,284;0,09;0,088;622,916;594,17;217,378;110,778;96,188;814,692;1,018;214,186;69;1,058;139,432;0,744;0,268;0,11;0,106;628,688;573,104;218,388;96,556;90,542;"1"
"11";794,122;0,99;194,578;71;0,976;126,114;0,672;0,298;0,08;0,092;517,604;547,38;246,648;64,372;68,554;1423,164;1,092;221,238;73;1,15;143,202;0,778;0,266;0,12;0,098;1139,932;972,578;362,834;188,396;142,768;"0"
"12";1709,84;1,092;218,886;73,4;1,152;140,404;0,764;0,282;0,11;0,09;1370,472;1162,308;467,718;222,71;164,936;1458,316;1,034;203,492;71,2;1,066;129,782;0,722;0,278;0,106;0,098;1067,574;974,978;395,546;157,06;138,982;"0"
"13";1056,324;1,126;225,892;73,6;1,188;144,136;0,784;0,282;0,124;0,098;859,236;692,358;264,998;145,95;103,162;1207,182;1,074;224,18;72,4;1,194;142,054;0,786;0,252;0,132;0,102;971,404;781,23;272,294;182,712;135,434;"1"
"14";2018,754;1,044;211,374;71,8;1,136;135,278;0,744;0,288;0,104;0,09;1452,108;1274,654;654,902;167,732;125,376;1069,194;1,106;226,222;72,2;1,176;146;0,794;0,254;0,13;0,108;860,314;709,346;280,314;140,764;108,156;"1"
"15";939,704;1,132;209,014;76;1,188;138,396;0,746;0,294;0,092;0,074;693,28;586,308;258,66;77,294;65,632;582,814;1,136;222,802;75,8;1,194;144,362;0,784;0,302;0,12;0,094;460,858;384,392;166,61;69,33;54,77;"0"
"16";509,134;1,138;220,744;75;1,158;143,61;0,764;0,34;0,094;0,084;364,006;334,48;166,21;41,456;37,052;1201,202;1,082;209,018;75;1,078;136,616;0,724;0,328;0,09;0,086;977,216;795,156;347,538;151,666;119,272;"1"
"17";589,136;1,028;206,494;72,4;1,05;134,76;0,73;0,272;0,106;0,088;432,858;405,394;158,22;62,538;54,602;896,54;1,112;220,828;74,2;1,172;144,53;0,778;0,262;0,12;0,104;678,296;591,08;247,258;93,736;80,774;"0"
"18";894,194;1,014;219,796;70,4;1,076;140,972;0,766;0,278;0,126;0,118;692,6;635,154;197,398;118,21;105,888;1455,44;1,036;222,018;70,2;1,078;141,376;0,776;0,212;0,146;0,124;1243,056;1053,52;264,15;278,67;220,338;"0"
