"","Data","RW","RL","Adversario","Resultados"
"120",2021-02-05,"13","2","MAJSTERSZTYK","Win"
"121",2022-10-18,"13","7","YaLLa Esports","Win"
"122",2022-09-13,"12","14","DRX","Lose"
"123",2022-09-08," 13","","100 Thieves",NA
"124",2022-07-18,"10","13","Leviatán","Lose"
"125",2022-07-17,"11","13","Paper Rex","Lose"
"126",2022-06-18,"12","14","FunPlus Phoenix","Lose"
"127",2022-05-28,"13","4","Acend","Win"
"128",2022-05-14,"5","13","FunPlus Phoenix","Lose"
"129",2022-04-11,"7","13","Ninjas In Pyjamas","Lose"
"130",2022-03-26,"10","13","G2 Esports","Lose"
"131",2022-03-12,"13","10","Acend","Win"
"132",2022-03-11,"13","4","SuperMassive Blaze","Win"
"133",2022-02-19,"13","10","BBL Esports","Win"
"134",2022-02-11,"11","13","G2 Esports","Lose"
"135",2021-11-04,"6","13","Giants Gaming","Lose"
"136",2021-08-26,"13","3","Axolotl","Win"
"137",2021-07-31,"13","7","Team Liquid","Win"
"138",2021-07-29,"16","18","Giants Gaming","Lose"
"139",2021-07-08,"13","11","Guild Esports","Win"
"140",2021-06-30,"13","8","TENSTAR","Win"
"141",2021-05-29,"8","13","NUTURN","Lose"
"142",2021-05-29,"13","10","Team Liquid","Win"
"143",2021-05-28,"13","6","Version1","Win"
"144",2021-05-02,"9","13","Team Liquid","Lose"
"145",2021-04-29,"13","10","Guild Esports","Win"
"146",2021-04-18,"10","13","Team Liquid","Lose"
"147",2021-04-15,"13","11","G2 Esports","Win"
"148",2021-04-12,"13","8","SAW","Win"
"149",2021-04-11,"13","5","Honvéd Esport","Win"
"150",2021-04-10,"13","6","Dark Tigers","Win"
"151",2021-03-31,"13","7","HONK","Win"
"152",2022-10-22,"13","4","Acend","Win"
"153",2022-10-22,"13","4","Geekay Esports","Win"
"154",2022-09-13,"13","7","DRX","Win"
"155",2022-09-05,"9","13","FURIA","Lose"
"156",2022-07-14,"13","10","FunPlus Phoenix","Win"
"157",2022-06-26,"13","5","FunPlus Phoenix","Win"
