"","Data","RW","RL","Adversario","Resultados"
"124",2022-03-06," 13","","100 Thieves",NA
"125",2022-02-09,"13","7","Reformed","Win"
"126",2022-02-08,"13","4","Oxygen Academy","Win"
"127",2022-02-08,"4","13","The Guard","Lose"
"128",2022-02-08,"13","2","Oxygen Academy","Win"
"129",2022-01-29,"13","3","The Guard","Win"
"130",2022-01-28,"13","5","IlluZion","Win"
"131",2021-11-30,"13","7","Complexity","Win"
"132",2021-11-30,"10","13","Evil Geniuses","Lose"
"133",2021-11-30,"13","7","Radiance","Win"
"134",2021-10-12," 13","","100 Thieves",NA
"135",2021-10-12,"13","10","Luminosity","Win"
"136",2021-08-12,"13","10","Rise","Win"
"137",2021-08-11,"13","5","Luminosity","Win"
"138",2021-07-09,"13","8","Sentinels","Win"
"139",2021-07-08,"5","13","Rise","Lose"
"140",2021-07-02,"13","7","Insight","Win"
"141",2021-07-01,"13","8","TradeLikePros","Win"
"142",2021-07-01,"13","3","University at Buffalo","Win"
"143",2021-04-29,"11","13","Envy","Lose"
"144",2021-04-11," 10","","100 Thieves",NA
"145",2021-04-10,"9","13","Envy","Lose"
"146",2021-04-10,"13","3","Version1","Win"
"147",2021-04-09,"13","3","Immortals","Win"
"148",2021-02-22,"6","13","Sentinels","Lose"
"149",2021-02-20,"1","13","Envy","Lose"
"150",2021-02-06,"8","13","Sentinels","Lose"
"151",2021-02-05,"5","13","Envy","Lose"
"152",2021-01-28,"15","13","TSM","Win"
"153",2021-01-15,"13","4","Luminosity","Win"
"154",2021-01-15,"9","13","Envy","Lose"
"155",2021-01-14,"13","8","Luminosity","Win"
"156",2021-01-10,"13","7","Built By Gamers","Win"
"157",2021-01-10,"13","10","Renegades","Win"
"158",2021-01-09,"13","6","Project !","Win"
"159",2020-12-20,"8","13","Gen.G","Lose"
"160",2020-12-20,"13","6","Knights","Win"
"161",2020-12-19,"13","7","Demon Time","Win"
"162",2020-11-13,"7","13","SOR","Lose"
"163",2022-09-13,"11","13","FunPlus Phoenix","Lose"
"164",2022-09-12,"13","11","OpTic Gaming","Win"
"165",2022-07-16,"13","15","Leviatán","Lose"
"166",2022-06-26,"13","11","OpTic Gaming","Win"
"167",2022-06-25,"13","4","FaZe Clan","Win"
"168",2022-06-24,"11","13","OpTic Gaming","Lose"
"169",2022-06-18," 13","","100 Thieves",NA
"170",2022-04-16,"13","2","Drexel University","Win"
"171",2022-03-25,"2","13","Cloud9","Lose"
"172",2022-03-24,"13","5","Luminosity","Win"
"173",2022-03-17,"9","13","OpTic Gaming","Lose"
"174",2022-02-08,"17","19","The Guard","Lose"
"175",2022-01-28,"8","13","Radiance","Lose"
"176",2022-01-28,"13","6","IlluZion","Win"
"177",2022-01-27,"13","1","Team AIYA","Win"
"178",2021-12-01,"8","13","NRG Esports","Lose"
"179",2021-11-30,"13","8","Evil Geniuses","Win"
"180",2021-11-29,"13","3","ex-FLICKBAITERS","Win"
"181",2021-10-30,"12","14","Cloud9","Lose"
"182",2021-10-12," 9","1","100 Thieves","Win"
"183",2021-10-12,"13","8","Luminosity","Win"
"184",2021-08-13,"11","13","Envy","Lose"
"185",2021-08-12,"13","7","Rise","Win"
"186",2021-08-11," 11","","100 Thieves",NA
"187",2021-07-11,"10","13","Sentinels","Lose"
"188",2021-07-10," 13","","100 Thieves",NA
"189",2021-07-08,"13","4","Rise","Win"
"190",2021-07-03,"10","13","DarkZero Esports","Lose"
"191",2021-04-29,"13","10","Envy","Win"
"192",2021-04-29,"13","15","NRG Esports","Lose"
"193",2021-04-11," 13","","100 Thieves",NA
"194",2021-04-10,"13","9","Envy","Win"
"195",2021-04-09,"13","10","Immortals","Win"
"196",2021-04-09,"8","13","Envy","Lose"
"197",2021-04-08,"13","6","Built By Gamers","Win"
"198",2021-04-02,"13","9","Spot Up","Win"
"199",2021-04-01,"13","3","RIFLE CRUTCHERS","Win"
"200",2021-03-13,"8","13","Gen.G","Lose"
"201",2021-02-21,"13","7","Luminosity","Win"
"202",2021-02-05,"13","10","Envy","Win"
"203",2021-02-04,"6","13","Immortals","Lose"
"204",2020-11-04,"6","13","Luminosity","Lose"
"205",2020-11-04,"5","13","Cloud9","Lose"
"206",2020-10-27,"5","13","Gen.G","Lose"
"207",2020-10-27,"4","13","Immortals","Lose"
"208",2020-10-26,"13","8","Prospects","Win"
"209",2022-09-03,"13","10","XERXIA Esports","Win"
"210",2022-06-25,"16","14","FaZe Clan","Win"
"211",2022-06-24,"11","13","OpTic Gaming","Lose"
"212",2022-06-18," 13","","100 Thieves",NA
"213",2022-06-03,"13","6","The Guard","Win"
"214",2022-04-17,"13","3","Oxygen Academy","Win"
"215",2022-04-16,"13","6","Cloud9 Academy","Win"
"216",2022-02-19,"10","13","Cloud9","Lose"
"217",2022-02-09,"12","14","Reformed","Lose"
"218",2022-02-08,"13","5","Oxygen Academy","Win"
"219",2022-02-07,"13","8","Reformed","Win"
"220",2022-01-28,"13","6","Radiance","Win"
"221",2021-11-30,"13","6","Complexity","Win"
"222",2021-10-29,"13","4","Version1","Win"
"223",2021-07-11,"12","14","Sentinels","Lose"
"224",2021-07-10," 4","1","100 Thieves","Win"
"225",2021-07-09,"11","13","Sentinels","Lose"
"226",2021-07-08,"13","4","Rise","Win"
"227",2021-07-03,"13","9","DarkZero Esports","Win"
"228",2021-07-02,"13","5","Insight","Win"
"229",2021-07-01,"13","4","TradeLikePros","Win"
"230",2021-07-01,"13","1","University at Buffalo","Win"
"231",2021-04-11," 13","","100 Thieves",NA
"232",2021-01-29,"4","13","Immortals","Lose"
"233",2021-01-28,"3","13","TSM","Lose"
"234",2021-01-27,"15","13","down bad","Win"
"235",2021-01-15,"7","13","Luminosity","Lose"
"236",2020-12-20,"13","7","Knights","Win"
"237",2020-12-19,"15","13","Sedated","Win"
"238",2022-09-05,"13","5","FunPlus Phoenix","Win"
"239",2022-06-25,"13","10","FaZe Clan","Win"
"240",2022-06-24,"6","13","OpTic Gaming","Lose"
"241",2022-05-28," 4","1","100 Thieves","Win"
"242",2022-04-16,"11","13","Cloud9 Academy","Lose"
"243",2022-03-24,"13","5","Luminosity","Win"
"244",2022-03-20,"13","7","Knights","Win"
"245",2022-03-12,"13","5","Luminosity","Win"
"246",2022-03-06," 13","","100 Thieves",NA
"247",2022-02-19,"7","13","Cloud9","Lose"
"248",2022-02-13,"13","9","Evil Geniuses","Win"
"249",2022-02-10,"14","12","Knights","Win"
"250",2022-02-09,"13","3","Reformed","Win"
"251",2022-02-09,"13","4","NRG Esports","Win"
"252",2022-01-29,"13","11","NRG Esports","Win"
"253",2022-01-28,"13","9","Radiance","Win"
"254",2022-01-27,"13","7","Shopify Rebellion GC","Win"
"255",2021-10-12," 8","1","100 Thieves","Win"
"256",2021-07-11,"7","13","Sentinels","Lose"
"257",2021-07-03,"13","9","DarkZero Esports","Win"
"258",2022-09-10,"13","11","FNATIC","Win"
"259",2022-09-05,"4","13","FunPlus Phoenix","Lose"
"260",2022-09-03,"13","11","XERXIA Esports","Win"
"261",2022-06-26,"12","14","OpTic Gaming","Lose"
"262",2022-05-14,"13","9","Ghost Gaming","Win"
"263",2022-03-06," 9","1","100 Thieves","Win"
"264",2022-02-26,"3","13","The Guard","Lose"
"265",2022-02-07,"13","5","Reformed","Win"
"266",2021-11-30,"13","5","Radiance","Win"
"267",2022-09-13,"13","11","FunPlus Phoenix","Win"
"268",2022-09-12,"8","13","OpTic Gaming","Lose"
"269",2022-09-10,"13","8","FNATIC","Win"
"270",2022-09-05,"13","7","FunPlus Phoenix","Win"
