"";"b";"V1";"V2";"ganhador";"prev"
"x1";"https://www.vlr.gg/185090/dragon-ranger-gaming-vs-kingzone-fgc-valorant-invitational-2023-act-1-qualifiers-qf";27,6561074359292;72,3438925640708;"1";0
"x2";"https://www.vlr.gg/185091/royal-never-give-up-vs-night-wings-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-qf";96,9747279202328;3,02527207976719;"0";1
"x3";"https://www.vlr.gg/185092/four-angry-men-vs-douyu-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-qf";46,2913870538608;53,7086129461392;"0";0
"x4";"https://www.vlr.gg/179479/orangutan-x-vs-global-esports-phoenix-game-changers-2023-asia-pacific-open-1-playoffs-lr2";96,091849278437;3,90815072156302;"1";1
"x5";"https://www.vlr.gg/179480/sapphire-vs-bigg-scythe-game-changers-2023-asia-pacific-open-1-playoffs-lr2";82,0880298272122;17,9119701727878;"0";1
"x6";"https://www.vlr.gg/185093/nova-esports-vs-weibo-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-qf";0,644341231909901;99,3556587680901;"0";0
"x7";"https://www.vlr.gg/169012/turtle-troop-vs-oxygen-esports-challengers-league-north-america-w5";32,1256634660029;67,8743365339971;"0";0
"x8";"https://www.vlr.gg/184372/tropicaos-vs-keyd-stars-challengers-league-brazil-split-1-lr2";15,0198283426727;84,9801716573273;"0";0
"x9";"https://www.vlr.gg/179501/fusion-vs-reta-esports-challengers-league-latam-north-ace-split-1-w3";46,7486835730089;53,2513164269911;"1";0
"x10";"https://www.vlr.gg/169008/g2-esports-vs-shopify-rebellion-challengers-league-north-america-w5";62,6600195893118;37,3399804106882;"1";1
"x11";"https://www.vlr.gg/184368/the-union-vs-red-canids-challengers-league-brazil-split-1-ubf";30,3646739653692;69,6353260346308;"1";0
"x12";"https://www.vlr.gg/179502/skull-cracker-vs-six-karma-challengers-league-latam-north-ace-split-1-w3";21,755546610167;78,244453389833;"0";0
