"";"V1";"V2"
"1";"Talon Esports 52.63%  ";"Rex Regum Qeon 47.37%  "
"2";"NTER 68.2%  ";"Kingzone 31.8%  "
"3";"ZETA DIVISION 32.64%  ";"Gen.G 67.36%  "
"4";"Rare Atom 44.31%  ";"Dragon Ranger Gaming 55.69%  "
"5";"Reckoning Esports 35.72%  ";"MLT Esports 64.28%  "
"6";"B8 Esports 40.25%  ";"Rapid Ninjas 59.75%  "
"7";"Rebels Gaming 66.4%  ";"AYM Esports 33.6%  "
"8";"Zero Tenacity 23.16%  ";"Acend 76.84%  "
"9";"3DMAX 24.9%  ";"Gentle Mates 75.1%  "
"10";"BBL Queens 59.14%  ";"Karmine Corp GC 40.86%  "
"11";"Falcons 55.7%  ";"UCAM Tokiers 44.3%  "
"12";"Twisted Minds Esports 52.08%  ";"Triple Esports Club 47.92%  "
"13";"GMT Esports 84.8%  ";"Outplayed 15.2%  "
"14";"Enterprise Esports 50.53%  ";"GONext Esports 49.47%  "
"15";"Mandatory 80.04%  ";"Zerance 19.96%  "
"16";"Ramboot Club 69.27%  ";"Movistar Riders 30.73%  "
"17";"HMBLE 53.03%  ";"QLASH 46.97%  "
"18";"Joblife 31.51%  ";"VALIANT 68.49%  "
"19";"Case Esports 25.53%  ";"KPI Gaming 74.47%  "
"20";"KRÜ Esports 31.69%  ";"Sentinels 68.31%  "
"21";"Macko Esports 52.86%  ";"WLGaming Esports 47.14%  "
"22";"Anonymo Esports 50.09%  ";"Diamant Esports 49.91%  "
"23";"BLX UTD 26.36%  ";"Solary 73.64%  "
"24";"Acend Rising 41.4%  ";"G2 Gozen 58.6%  "
"25";"ZETA Gaming 38.1%  ";"Team Queso 61.9%  "
"26";"Geekay Esports 65.36%  ";"Team RA'AD 34.64%  "
"27";"Axolotl 15.16%  ";"DSYRE 84.84%  "
"28";"WYLDE 57.58%  ";"Akroma 42.42%  "
"29";"NRG Esports 60.55%  ";"LOUD 39.45%  "
