"";"b";"V1";"V2";"ganhador";"prev"
"x1";"https://www.vlr.gg/178643/bobo-vs-honey-badgers-challengers-league-oceania-split-1-lf";33,5111397141426;66,4888602858574;"1";0
"x2";"https://www.vlr.gg/164036/enigma-gaming-vs-x10-esports-challengers-league-malaysia-singapore-split-1-lf";35,7332217097324;64,2667782902676;"0";0
"x3";"https://www.vlr.gg/167853/attack-all-around-vs-full-sense-challengers-league-thailand-split-1-lr1";25,7914595561844;74,2085404438156;"1";0
"x4";"https://www.vlr.gg/179447/boom-esports-vs-arf-team-challengers-league-indonesia-split-1-lr3";45,5803126225715;54,4196873774285;"1";0
"x5";"https://www.vlr.gg/178629/oasis-gaming-vs-gamelab-alpha-challengers-league-philippines-split-1-lf";50,4856500761627;49,5143499238373;"1";1
"x6";"https://www.vlr.gg/181488/team-big-baam-vs-lazybutwannawin-challengers-league-vietnam-split-1-lr1";54,8955866374186;45,1044133625814;"1";1
"x7";"https://www.vlr.gg/183717/tyloo-vs-royal-never-give-up-fgc-valorant-invitational-2023-act-1-qualifiers-ubsf";68,1622971913645;31,8377028086355;"1";1
"x8";"https://www.vlr.gg/167854/made-in-thailand-vs-sharper-esport-challengers-league-thailand-split-1-uf";48,9513312265906;51,0486687734094;"1";0
"x9";"https://www.vlr.gg/179380/griffin-e-sports-vs-oblivion-force-challengers-league-taiwan-hong-kong-split-1-lf";43,6673056528603;56,3326943471397;"1";0
"x10";"https://www.vlr.gg/181489/fancy-united-esports-vs-tim-t-i-tr-challengers-league-vietnam-split-1-ubf";59,6830562188777;40,3169437811223;"1";1
"x11";"https://www.vlr.gg/180740/les-petit-bouffons-vs-fokus-challengers-league-northern-europe-polaris-split-1-lr1";10,3655104368411;89,6344895631589;"0";0
"x12";"https://www.vlr.gg/184199/rapid-ninjas-vs-cyber-wolves-esports-challengers-league-east-surge-split-1-lr1";45,6185846184877;54,3814153815123;"0";0
"x13";"https://www.vlr.gg/175211/saw-vs-gtz-esports-challengers-league-portugal-tempest-split-1-gf";58,3279304837255;41,6720695162745;"1";1
"x14";"https://www.vlr.gg/184196/acend-vs-enterprise-esports-challengers-league-east-surge-split-1-ubf";50,8942503456136;49,1057496543864;"1";1
"x15";"https://www.vlr.gg/164089/cgn-esports-vs-angry-titans-challengers-league-dach-evolution-split-1-lbf";49,2186888292841;50,7813111707159;"1";0
"x16";"https://www.vlr.gg/180738/hsdirr-vs-apeks-challengers-league-northern-europe-polaris-split-1-ubf";49,8511932445736;50,1488067554264;"0";0
"x17";"https://www.vlr.gg/180746/mandatory-vs-zerance-challengers-league-france-revolution-split-1-sf";36,976435991889;63,023564008111;"1";0
"x18";"https://www.vlr.gg/183420/team-queso-vs-case-esports-challengers-league-spain-rising-split-1-gf";49,9156735927595;50,0843264072405;"0";0
"x19";"https://www.vlr.gg/183501/team-falcons-vs-unity-esports-challengers-league-mena-resilience-split-1-gf";50,5001315913948;49,4998684086052;"0";1
"x20";"https://www.vlr.gg/179497/skull-cracker-vs-reta-esports-challengers-league-latam-north-ace-split-1-w2";84,4799968595495;15,5200031404505;"1";1
"x21";"https://www.vlr.gg/179498/fusion-vs-19esports-challengers-league-latam-north-ace-split-1-w2";52,5676655064486;47,4323344935514;"0";1
