"";"V1";"V2"
"1";"Team SMG GC 75.75%  ";"Global Esports Phoenix 24.25%  "
"2";"Orangutan X 38.75%  ";"FS SAPPHIRE 61.25%  "
"3";"Gods Reign 75.24%  ";"Reckoning Esports 24.76%  "
"4";"Point of Authority Blossom 35.12%  ";"THE HERO KDA 64.88%  "
"5";"BIGG SCYTHE 15.04%  ";"RRQ Kaguya 84.96%  "
"6";"WYLDE 39.15%  ";"VALIANT 60.85%  "
"7";"NASR Esports 63.09%  ";"Triple Esports Club 36.91%  "
"8";"Joblife 46.38%  ";"Zerance 53.62%  "
"9";"Team Falcons 61.18%  ";"Team RA'AD 38.82%  "
"10";"Northwood University 72.18%  ";"Winthrop University 27.82%  "
"11";"The Guard 40.42%  ";"G2 Esports 59.58%  "
"12";"9z Team GC 24.54%  ";"Cruzados Esports Fem 75.46%  "
"13";"Oxygen Esports 63.62%  ";"FaZe Clan 36.38%  "
"14";"Leviatán GC 48.09%  ";"FUSION X 51.91%  "
