"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/222530/night-wings-gaming-vs-nter-valorant-champions-2023-china-qualifier-r5";"Night Wings Gaming 23.64%  ";"NTER 76.36%  ";"0";23,64;76,36;0
"2";"https://www.vlr.gg/219743/xyz-vs-koopa-troopas-challengers-league-oceania-split-2-regional-playoffs-lr2";"xyz 48.54%  ";"Koopa Troopas 51.46%  ";"1";48,54;51,46;0
"3";"https://www.vlr.gg/222203/ge-fighting-vs-velocity-gaming-challengers-league-south-asia-split-2-showmatch";"GE Fighting 55.7%  ";"Team Velocity(Velocity Gaming) 44.3%  ";"1";55,7;44,3;1
"4";"https://www.vlr.gg/221304/orangutan-x-vs-the-hero-kda-game-changers-2023-asia-pacific-open-2-playoffs-lr2";"Orangutan X 70.33%  ";"THE HERO KDA 29.67%  ";"1";70,33;29,67;1
"5";"https://www.vlr.gg/221305/global-esports-phoenix-vs-rrq-kaguya-game-changers-2023-asia-pacific-open-2-playoffs-lr2";"Global Esports Phoenix 7.85%  ";"RRQ Kaguya 92.15%  ";"1";7,85;92,15;0
"6";"https://www.vlr.gg/222531/gank-gaming-vs-four-angry-men-valorant-champions-2023-china-qualifier-r5";"Gank Gaming 65.02%  ";"Four Angry Men 34.98%  ";"0";65,02;34,98;1
"7";"https://www.vlr.gg/219739/bonkers-vs-nerdpunt-challengers-league-oceania-split-2-regional-playoffs-uf";"Bonkers 60.2%  ";"NerdPunt 39.8%  ";"0";60,2;39,8;1
"8";"https://www.vlr.gg/211912/orangutan-vs-aster-army-challengers-league-south-asia-split-2-ubf";"Orangutan 67.24%  ";"Aster Army 32.76%  ";"1";67,24;32,76;1
"9";"https://www.vlr.gg/222532/dragon-ranger-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r5";"Dragon Ranger Gaming 58.3%  ";"Douyu Gaming 41.7%  ";"1";58,3;41,7;1
"10";"https://www.vlr.gg/221306/team-smg-gc-vs-full-sense-sapphire-game-changers-2023-asia-pacific-open-2-playoffs-ubf";"Team SMG GC 61.18%  ";"FULL SENSE SAPPHIRE 38.82%  ";"1";61,18;38,82;1
"11";"https://www.vlr.gg/214674/gentle-mates-vs-wylde-challengers-league-france-revolution-split-2-sf";"Gentle Mates 62.2%  ";"WYLDE 37.8%  ";"1";62,2;37,8;1
"12";"https://www.vlr.gg/220994/team-raad-vs-nasr-esports-challengers-league-mena-resilience-lan-finals-lower-finals";"Team RA'AD 46.25%  ";"NASR Esports 53.75%  ";"1";46,25;53,75;0
"13";"https://www.vlr.gg/212530/m80-vs-moist-moguls-challengers-league-north-america-ubf";"M80 77.59%  ";"Moist Moguls 22.41%  ";"1";77,59;22,41;1
"14";"https://www.vlr.gg/221957/sunxet-club-fem-vs-optix-fem-game-changers-2023-latin-america-split-1-round-robin";"SunXet Club Fem 75.67%  ";"Optix Fem 24.33%  ";"0";75,67;24,33;1
"15";"https://www.vlr.gg/212536/the-guard-vs-oxygen-esports-challengers-league-north-america-lr3";"The Guard 47.51%  ";"Oxygen Esports 52.49%  ";"1";47,51;52,49;0
