"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/184519/drx-vs-paper-rex-champions-tour-2023-pacific-league-playoffs-uf";"DRX 57.55%  ";"Paper Rex 42.45%  ";"0";57,55;42,45;1
"2";"https://www.vlr.gg/184520/t1-vs-gen-g-champions-tour-2023-pacific-league-playoffs-lr2";"T1 61.21%  ";"Gen.G 38.79%  ";"1";61,21;38,79;1
"3";"https://www.vlr.gg/189101/digital-athletics-vs-galatasaray-esports-challengers-league-turkey-birlik-split-2-group-stage-w7";"Digital Athletics 51.78%  ";"Galatasaray Esports 48.22%  ";"0";51,78;48,22;1
"4";"https://www.vlr.gg/210237/aym-esports-vs-movistar-riders-challengers-league-spain-rising-split-2-r18";"AYM Esports 27.53%  ";"Movistar Riders 72.47%  ";"0";27,53;72,47;0
"5";"https://www.vlr.gg/206519/akroma-vs-zerance-challengers-league-france-revolution-split-2-w7";"Akroma 62.81%  ";"Zerance 37.19%  ";"1";62,81;37,19;1
"6";"https://www.vlr.gg/210238/case-esports-vs-rebels-gaming-challengers-league-spain-rising-split-2-r18";"Case Esports 52.86%  ";"Rebels Gaming 47.14%  ";"0";52,86;47,14;1
"7";"https://www.vlr.gg/206520/mandatory-vs-gentle-mates-challengers-league-france-revolution-split-2-w7";"Mandatory 53.84%  ";"Gentle Mates 46.16%  ";"1";53,84;46,16;1
"8";"https://www.vlr.gg/210239/team-queso-vs-falcons-challengers-league-spain-rising-split-2-r18";"Team Queso 65.44%  ";"Falcons 34.56%  ";"1";65,44;34,56;1
"9";"https://www.vlr.gg/189102/thunderbolts-gaming-vs-s2g-esports-challengers-league-turkey-birlik-split-2-group-stage-w7";"Thunderbolts Gaming 22.22%  ";"S2G Esports 77.78%  ";"0";22,22;77,78;0
"10";"https://www.vlr.gg/206521/blx-utd-vs-3dmax-challengers-league-france-revolution-split-2-w7";"BLX UTD 45.53%  ";"3DMAX 54.47%  ";"0";45,53;54,47;0
"11";"https://www.vlr.gg/210240/kpi-gaming-vs-ramboot-club-challengers-league-spain-rising-split-2-r18";"KPI Gaming 58.81%  ";"Ramboot Club 41.19%  ";"0";58,81;41,19;1
"12";"https://www.vlr.gg/206522/wylde-vs-valiant-challengers-league-france-revolution-split-2-w7";"WYLDE 38.6%  ";"VALIANT 61.4%  ";"1";38,6;61,4;0
"13";"https://www.vlr.gg/210241/zeta-gaming-vs-ucam-tokiers-challengers-league-spain-rising-split-2-r18";"ZETA Gaming 41.57%  ";"UCAM Tokiers 58.43%  ";"0";41,57;58,43;0
"14";"https://www.vlr.gg/206523/solary-vs-joblife-challengers-league-france-revolution-split-2-w7";"Solary 75.11%  ";"Joblife 24.89%  ";"0";75,11;24,89;1
"15";"https://www.vlr.gg/213534/9z-team-vs-all-knights-challengers-league-latam-south-fire-split-2-uf";"9z Team 72.53%  ";"All Knights 27.47%  ";"0";72,53;27,47;1
"16";"https://www.vlr.gg/213535/furious-gaming-vs-optix-challengers-league-latam-south-fire-split-2-lr1";"Furious Gaming 60.65%  ";"Optix 39.35%  ";"1";60,65;39,35;1
