"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/184477/paper-rex-vs-global-esports-champions-tour-2023-pacific-league-w5";"Paper Rex 52.84%  ";"Global Esports 47.16%  ";"1";52,84;47,16;1
"2";"https://www.vlr.gg/198841/bilibili-gaming-vs-gank-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ubsf";"Bilibili Gaming 19.02%  ";"Gank Gaming 80.98%  ";"1";19,02;80,98;0
"3";"https://www.vlr.gg/184478/gen-g-vs-drx-champions-tour-2023-pacific-league-w5";"Gen.G 23.49%  ";"DRX 76.51%  ";"0";23,49;76,51;0
"4";"https://www.vlr.gg/198842/number-one-player-vs-royal-never-give-up-fgc-valorant-invitational-2023-act-2-qualifiers-ubsf";"GTZ Esports 80.35%  ";"Impulse GW 19.65%  ";"0";80,35;19,65;1
"5";"https://www.vlr.gg/188477/gtz-esports-vs-impulse-gw-challengers-league-portugal-tempest-split-2-regular-season-r7";"SAW 85.99%  ";"Panthers Esports 14.01%  ";"1";85,99;14,01;1
"6";"https://www.vlr.gg/188478/saw-vs-panthers-esports-challengers-league-portugal-tempest-split-2-regular-season-r7";"ALTERNATE aTTaX 39.92%  ";"Ovation eSports 60.08%  ";"0";39,92;60,08;0
"7";"https://www.vlr.gg/188539/alternate-attax-vs-ovation-esports-challengers-league-dach-evolution-split-2-r5";"GONext Esports 27.76%  ";"Acend 72.24%  ";"0";27,76;72,24;0
"8";"https://www.vlr.gg/189565/gonext-esports-vs-acend-challengers-league-east-surge-split-2-r7";"True Rippers 16.18%  ";"Gods Reign 83.82%  ";"0";16,18;83,82;0
"9";"https://www.vlr.gg/195706/true-rippers-vs-gods-reign-challengers-league-south-asia-split-1-lf";"Team Vikings 24.6%  ";"EGN Esports 75.4%  ";"0";24,6;75,4;0
"10";"https://www.vlr.gg/188479/team-vikings-vs-egn-esports-challengers-league-portugal-tempest-split-2-regular-season-r7";"Enterprise Esports 70.68%  ";"B8 Esports 29.32%  ";"0";70,68;29,32;1
"11";"https://www.vlr.gg/189566/enterprise-esports-vs-b8-esports-challengers-league-east-surge-split-2-r7";"Solary 65.04%  ";"3DMAX 34.96%  ";"1";65,04;34,96;1
"12";"https://www.vlr.gg/194144/solary-vs-3dmax-challengers-league-france-revolution-split-2-w3";"Outplayed 15.67%  ";"GMT Esports 84.33%  ";"0";15,67;84,33;0
"13";"https://www.vlr.gg/188402/outplayed-vs-gmt-esports-challengers-league-italy-rinascimento-split-2-w4";"FTW Esports 50.99%  ";"EX0TIK GAMING 49.01%  ";"0";50,99;49,01;1
"14";"https://www.vlr.gg/188480/ftw-esports-vs-ex0tik-gaming-challengers-league-portugal-tempest-split-2-regular-season-r7";"MOUZ 81.27%  ";"Laterious 18.73%  ";"0";81,27;18,73;1
"15";"https://www.vlr.gg/189567/nom-esports-vs-rapid-ninjas-challengers-league-east-surge-split-2-r7";"NOM Esports 34.26%  ";"Rapid Ninjas 65.74%  ";"1";34,26;65,74;0
"16";"https://www.vlr.gg/194145/akroma-vs-blx-utd-challengers-league-france-revolution-split-2-w3";"Akroma 32.63%  ";"BLX UTD 67.37%  ";"0";32,63;67,37;0
"17";"https://www.vlr.gg/188403/qlash-vs-hmble-challengers-league-italy-rinascimento-split-2-w4";"QLASH 50.25%  ";"HMBLE 49.75%  ";"1";50,25;49,75;1
"18";"https://www.vlr.gg/194146/valiant-vs-mandatory-challengers-league-france-revolution-split-2-w3";"VALIANT 67.68%  ";"Mandatory 32.32%  ";"0";67,68;32,32;1
"19";"https://www.vlr.gg/183793/kr-esports-vs-100-thieves-champions-tour-2023-americas-league-w4";"KRÜ Esports 62.61%  ";"100 Thieves 37.39%  ";"0";62,61;37,39;1
"20";"https://www.vlr.gg/189569/zero-tenacity-vs-anonymo-esports-challengers-league-east-surge-split-2-r7";"Zero Tenacity 23.85%  ";"Anonymo Esports 76.15%  ";"1";23,85;76,15;0
"21";"https://www.vlr.gg/194147/gentle-mates-vs-joblife-challengers-league-france-revolution-split-2-w3";"Gentle Mates 72.71%  ";"Joblife 27.29%  ";"0";72,71;27,29;1
"22";"https://www.vlr.gg/188405/axolotl-vs-dsyre-challengers-league-italy-rinascimento-split-2-w4";"Axolotl 17.71%  ";"DSYRE 82.29%  ";"0";17,71;82,29;0
"23";"https://www.vlr.gg/194148/zerance-vs-wylde-challengers-league-france-revolution-split-2-w3";"Zerance 23.5%  ";"WYLDE 76.5%  ";"0";23,5;76,5;0
"24";"https://www.vlr.gg/183794/evil-geniuses-vs-furia-champions-tour-2023-americas-league-w4";"Evil Geniuses 53.83%  ";"FURIA 46.17%  ";"0";53,83;46,17;1
