"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/186412/kone-esc-vs-invincible-gaming-fgc-valorant-invitational-2023-act-1-d3";"KONE eSC 93.34%  ";"Invincible Gaming 6.66%  ";"0";93,34;6,66;1
"x2";"https://www.vlr.gg/186751/vipers-clan-vs-stream-raiders-nacague-challengers-league-philippines-split-2-open-qualifier-lr4";"Vipers Clan 34.44%  ";"Stream Raiders Nacague 65.56%  ";"0";34,44;65,56;0
"x3";"https://www.vlr.gg/186413/bilibili-gaming-vs-edward-gaming-fgc-valorant-invitational-2023-act-1-d3";"Bilibili Gaming 2.86%  ";"EDward Gaming 97.14%  ";"0";2,86;97,14;0
"x4";"https://www.vlr.gg/186750/boss-g-kdm-vs-zol-esports-challengers-league-philippines-split-2-open-qualifier-lr4";"Boss G KDM 19.91%  ";"ZOL Esports 80.09%  ";"0";19,91;80,09;0
"x5";"https://www.vlr.gg/186414/weibo-gaming-vs-funplus-phoenix-fgc-valorant-invitational-2023-act-1-d3";"Weibo Gaming 81.39%  ";"FunPlus Phoenix 18.61%  ";"0";81,39;18,61;1
"x6";"https://www.vlr.gg/185890/lethal-esports-vs-reckoning-esports-challengers-league-south-asia-split-1-w2";"Lethal Esports 4.33%  ";"Reckoning Esports 95.67%  ";"0";4,33;95,67;0
"x7";"https://www.vlr.gg/184646/team-liquid-brazil-vs-hummer-esports-game-changers-2023-brazil-series-1-main-event-ubsf";"Team Liquid Brazil 87.52%  ";"HUMMER Esports 12.48%  ";"1";87,52;12,48;1
"x8";"https://www.vlr.gg/185978/m80-vs-moist-moguls-challengers-league-north-america-ubsf";"M80 51.9%  ";"Moist Moguls 48.1%  ";"1";51,9;48,1;1
"x9";"https://www.vlr.gg/185979/the-guard-vs-oxygen-esports-challengers-league-north-america-ubsf";"The Guard 44.8%  ";"Oxygen Esports 55.2%  ";"1";44,8;55,2;0
"x10";"https://www.vlr.gg/184647/loud-gc-vs-oddik-bright-game-changers-2023-brazil-series-1-main-event-ubsf";"LOUD GC 64.05%  ";"ODDIK Bright 35.95%  ";"1";64,05;35,95;1
