"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/188333/bigetron-arctic-vs-alter-ego-challengers-league-indonesia-split-2-r6";"Bigetron Arctic 52.32%  ";"Alter Ego 47.68%  ";"1";52,32;47,68;1
"2";"https://www.vlr.gg/209023/gwangju-shadow-vs-slt-seongam-world-cyber-games-challengers-league-korea-split-2-ur1-1";"Gwangju Shadow 44.19%  ";"SLT Seongam 55.81%  ";"1";44,19;55,81;0
"3";"https://www.vlr.gg/209024/incheon-on-sla2ers-vs-nongshim-redforce-world-cyber-games-challengers-league-korea-split-2-ur1-1";"Incheon On Sla2ers 68.15%  ";"Nongshim RedForce 31.85%  ";"0";68,15;31,85;1
"4";"https://www.vlr.gg/193283/guangzhou-long-lionz-vs-bonkers-challengers-league-oceania-split-2-group-stage-w7";"Guangzhou Long Lionz 18.81%  ";"Bonkers 81.19%  ";"0";18,81;81,19;0
"5";"https://www.vlr.gg/204438/bilibili-gaming-vs-nter-fgc-valorant-invitational-2023-act-2-qf";"Bilibili Gaming 44.24%  ";"NTER 55.76%  ";"1";44,24;55,76;0
"6";"https://www.vlr.gg/188334/boom-esports-vs-dewa-united-esports-challengers-league-indonesia-split-2-r6";"BOOM Esports 62.91%  ";"Dewa United Esports 37.09%  ";"1";62,91;37,09;1
"7";"https://www.vlr.gg/193284/the-who-vs-nerdpunt-challengers-league-oceania-split-2-group-stage-w7";"The Who? 37.47%  ";"NerdPunt 62.53%  ";"0";37,47;62,53;0
"8";"https://www.vlr.gg/204439/funplus-phoenix-vs-weibo-gaming-fgc-valorant-invitational-2023-act-2-qf";"FunPlus Phoenix 49.82%  ";"Weibo Gaming 50.18%  ";"1";49,82;50,18;0
"9";"https://www.vlr.gg/204051/velocity-gaming-vs-reckoning-esports-challengers-league-south-asia-split-2-w4";"Velocity Gaming 69.45%  ";"Reckoning Esports 30.55%  ";"0";69,45;30,55;1
"10";"https://www.vlr.gg/202366/optix-vs-infinity-challengers-league-latam-south-fire-split-2-w4";"Optix 34.91%  ";"INFINITY 65.09%  ";"1";34,91;65,09;0
"11";"https://www.vlr.gg/184057/fnatic-vs-natus-vincere-champions-tour-2023-emea-league-w8";"FNATIC 45.88%  ";"Natus Vincere 54.12%  ";"1";45,88;54,12;0
"12";"https://www.vlr.gg/196159/moist-moguls-vs-faze-clan-challengers-league-north-america-w10";"Moist Moguls 57.67%  ";"FaZe Clan 42.33%  ";"1";57,67;42,33;1
"13";"https://www.vlr.gg/202367/9z-team-vs-all-knights-challengers-league-latam-south-fire-split-2-w4";"9z Team 72.37%  ";"All Knights 27.63%  ";"1";72,37;27,63;1
"14";"https://www.vlr.gg/196158/the-guard-vs-g2-esports-challengers-league-north-america-w10";"The Guard 40.52%  ";"G2 Esports 59.48%  ";"1";40,52;59,48;0
"15";"https://www.vlr.gg/193576/red-canids-vs-the-union-challengers-league-brazil-split-2-w7";"RED Canids 47.7%  ";"The Union 52.3%  ";"0";47,7;52,3;0
"16";"https://www.vlr.gg/202368/ebro-gaming-vs-furious-gaming-challengers-league-latam-south-fire-split-2-w4";"EBRO Gaming 36.11%  ";"Furious Gaming 63.89%  ";"0";36,11;63,89;0
"17";"https://www.vlr.gg/196162/shopify-rebellion-vs-turtle-troop-challengers-league-north-america-w10";"Shopify Rebellion 42.05%  ";"Turtle Troop 57.95%  ";"1";42,05;57,95;0
