"";"b";"V1";"V2";"ganhador";"prev"
"x1";"https://www.vlr.gg/164037/bleed-vs-x10-esports-challengers-league-malaysia-singapore-split-1-gf";47,4288244889372;52,5711755110628;"1";0
"x2";"https://www.vlr.gg/178644/95x-esports-vs-bobo-challengers-league-oceania-split-1-gf";53,8210081270267;46,1789918729733;"1";1
"x3";"https://www.vlr.gg/183720/tyloo-vs-number-one-player-fgc-valorant-invitational-2023-act-1-qualifiers-uf";61,7337704850194;38,2662295149806;"0";1
"x4";"https://www.vlr.gg/179448/bigetron-arctic-vs-boom-esports-challengers-league-indonesia-split-1-gf";39,1025257420449;60,8974742579551;"1";0
"x5";"https://www.vlr.gg/181490/tim-t-i-tr-vs-team-big-baam-challengers-league-vietnam-split-1-lf";50,379228875815;49,620771124185;"0";1
"x6";"https://www.vlr.gg/167855/sharper-esport-vs-attack-all-around-challengers-league-thailand-split-1-lf";51,8112829579614;48,1887170420386;"1";1
"x7";"https://www.vlr.gg/179381/one-team-esports-vs-griffin-e-sports-challengers-league-taiwan-hong-kong-split-1-gf";46,5670841142547;53,4329158857453;"1";0
"x8";"https://www.vlr.gg/183721/royal-never-give-up-vs-monarch-effect-fgc-valorant-invitational-2023-act-1-qualifiers-lr1";39,1186588551623;60,8813411448377;"1";0
"x9";"https://www.vlr.gg/178630/naos-vs-oasis-gaming-challengers-league-philippines-split-1-gf";61,6610936788823;38,3389063211177;"1";1
"x10";"https://www.vlr.gg/180741/hsdirr-vs-fokus-challengers-league-northern-europe-polaris-split-1-lbf";27,2738107530888;72,7261892469112;"0";0
"x11";"https://www.vlr.gg/184201/enterprise-esports-vs-anonymo-esports-challengers-league-east-surge-split-1-lbf";48,6803832580044;51,3196167419956;"1";0
"x12";"https://www.vlr.gg/180753/s2g-esports-vs-papara-supermassive-challengers-league-turkey-birlik-split-1-gf";52,2435171914102;47,7564828085898;"1";1
"x13";"https://www.vlr.gg/164087/unicorns-of-love-vs-cgn-esports-challengers-league-dach-evolution-split-1-gf";59,1325880543024;40,8674119456976;"0";1
"x14";"https://www.vlr.gg/180747/sbg-vs-mandatory-challengers-league-france-revolution-split-1-gf";53,7775727886498;46,2224272113502;"1";1
"x15";"https://www.vlr.gg/180759/dsyre-vs-gmt-esports-challengers-league-italy-rinascimento-split-1-gf";61,1546299890677;38,8453700109323;"0";1
"x16";"https://www.vlr.gg/183508/geekay-esports-vs-team-raad-challengers-league-mena-resilience-split-1-gf";48,5843498782454;51,4156501217546;"0";0
"x17";"https://www.vlr.gg/179499/six-karma-vs-reta-esports-challengers-league-latam-north-ace-split-1-w2";55,3323871352588;44,6676128647412;"0";1
