"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/193296/invincible-gaming-vs-jijiehao-fgc-valorant-invitational-2023-act-2-qualifiers-qf";"Invincible Gaming 12.68%  ";"JiJieHao 87.32%  ";"0";12,68;87,32;0
"x2";"https://www.vlr.gg/193297/night-wings-gaming-vs-four-angry-men-fgc-valorant-invitational-2023-act-2-qualifiers-qf";"Night Wings Gaming 6.95%  ";"Four Angry Men 93.05%  ";"1";6,95;93,05;0
"x3";"https://www.vlr.gg/193647/lazybutwannawin-vs-team-lofi-challengers-league-vietnam-split-2-d4";"Lazybutwannawin 94.66%  ";"Team Lofi 5.34%  ";"1";94,66;5,34;1
"x4";"https://www.vlr.gg/193261/guangzhou-long-lionz-vs-funcrew-challengers-league-oceania-split-2-group-stage-w1";"Guangzhou Long Lionz 6.16%  ";"Funcrew 93.84%  ";"0";6,16;93,84;0
"x5";"https://www.vlr.gg/193298/kingzone-vs-nova-esports-fgc-valorant-invitational-2023-act-2-qualifiers-qf";"Kingzone 44.97%  ";"Nova Esports 55.03%  ";"1";44,97;55,03;0
"x6";"https://www.vlr.gg/188130/utt-esports-vs-anti-eco-eco-club-challengers-league-taiwan-hong-kong-split-2-r2";"UTT Esports 44.89%  ";"Anti Eco Eco Club 55.11%  ";"0";44,89;55,11;0
"x7";"https://www.vlr.gg/188356/made-in-thailand-vs-team-nkt-challengers-league-thailand-split-2-w2";"Made in Thailand 89.25%  ";"Team NKT 10.75%  ";"1";89,25;10,75;1
"x8";"https://www.vlr.gg/193262/the-who-vs-95x-esports-challengers-league-oceania-split-2-group-stage-w1";"The Who? 12.83%  ";"95x Esports 87.17%  ";"0";12,83;87,17;0
"x9";"https://www.vlr.gg/188028/x10-esports-vs-todak-challengers-league-malaysia-singapore-split-2-d6";"X10 Esports 90.39%  ";"Todak 9.61%  ";"1";90,39;9,61;1
"x10";"https://www.vlr.gg/193648/fancy-united-esports-vs-team-big-baam-challengers-league-vietnam-split-2-d4";"Fancy United Esports 79.62%  ";"Team Big BAAM 20.38%  ";"1";79,62;20,38;1
"x11";"https://www.vlr.gg/188131/ghost-commandos-vs-one-team-esports-challengers-league-taiwan-hong-kong-split-2-r2";"Ghost CommandoS 8.14%  ";"ONE Team Esports 91.86%  ";"0";8,14;91,86;0
"x12";"https://www.vlr.gg/188357/xerxia-esports-vs-capybara-challengers-league-thailand-split-2-w2";"XERXIA Esports 85.33%  ";"Capybara 14.67%  ";"1";85,33;14,67;1
"x13";"https://www.vlr.gg/188029/enigma-gaming-vs-louvre-challengers-league-malaysia-singapore-split-2-d6";"Enigma Gaming 82.04%  ";"Louvre 17.96%  ";"1";82,04;17,96;1
"x14";"https://www.vlr.gg/185903/lethal-esports-vs-medal-esports-challengers-league-south-asia-split-1-w4";"Lethal Esports 35.1%  ";"Medal Esports 64.9%  ";"0";35,1;64,9;0
"x15";"https://www.vlr.gg/183947/team-liquid-vs-karmine-corp-champions-tour-2023-emea-league-w2";"Team Liquid 65.11%  ";"Karmine Corp 34.89%  ";"1";65,11;34,89;1
"x16";"https://www.vlr.gg/183948/koi-vs-giants-gaming-champions-tour-2023-emea-league-w2";"KOI 41.2%  ";"Giants Gaming 58.8%  ";"0";41,2;58,8;0
