"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/170961/crazy-raccoon-vs-fennel-challengers-league-japan-split-1-gf";"Crazy Raccoon 76.73%  ";"FENNEL 23.27%  ";"0";76,73;23,27;1
"x2";"https://www.vlr.gg/179484/team-smg-gc-vs-orangutan-x-game-changers-2023-asia-pacific-open-1-playoffs-gf";"Team SMG GC 62.05%  ";"Orangutan X 37.95%  ";"1";62,05;37,95;1
"x3";"https://www.vlr.gg/185096/dragon-ranger-gaming-vs-weibo-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-uf";"Dragon Ranger Gaming 1.87%  ";"Weibo Gaming 98.13%  ";"0";1,87;98,13;0
"x4";"https://www.vlr.gg/186280/alter-ego-vs-90-kg-challengers-league-indonesia-split-2-opening-a";"Alter Ego 49.23%  ";"90 KG 50.77%  ";"1";49,23;9050,77;0
"x5";"https://www.vlr.gg/186281/hero-zero-anubis-vs-le-crapaud-challengers-league-indonesia-split-2-opening-a";"Hero Zero ANUBIS 8.05%  ";"Le Crapaud 91.95%  ";"0";8,05;91,95;0
"x6";"https://www.vlr.gg/185097/night-wings-gaming-vs-douyu-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-lr1";"Night Wings Gaming 34.93%  ";"Douyu Gaming 65.07%  ";"0";34,93;65,07;0
"x7";"https://www.vlr.gg/186286/hike-digital-esports-vs-tiger-wong-esports-challengers-league-indonesia-split-2-opening-b";"Hike Digital Esports 48.82%  ";"Tiger Wong Esports 51.18%  ";"1";48,82;51,18;0
"x8";"https://www.vlr.gg/185886/gods-reign-vs-velocity-gaming-challengers-league-south-asia-split-1-w1";"Gods Reign 26.44%  ";"Velocity Gaming 73.56%  ";"0";26,44;73,56;0
"x9";"https://www.vlr.gg/184369/the-union-vs-keyd-stars-challengers-league-brazil-split-1-gf";"The Union 38.39%  ";"Keyd Stars 61.61%  ";"1";38,39;61,61;0
"x10";"https://www.vlr.gg/179506/reta-esports-vs-19esports-challengers-league-latam-north-ace-split-1-w3";"RETA Esports 76.14%  ";"19esports 23.86%  ";"0";76,14;1923,86;0
