"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/186282/alter-ego-vs-le-crapaud-challengers-league-indonesia-split-2-winners-a";"Alter Ego 84.99%  ";"Le Crapaud 15.01%  ";"1";84,99;15,01;1
"x2";"https://www.vlr.gg/186283/90-kg-vs-hero-zero-anubis-challengers-league-indonesia-split-2-elim-a";"90 KG 64.09%  ";"Hero Zero ANUBIS 35.91%  ";"1";9064,09;35,91;1
"x3";"https://www.vlr.gg/186288/arcane-vs-tiger-wong-esports-challengers-league-indonesia-split-2-elim-b";"Arcane 69.65%  ";"Tiger Wong Esports 30.35%  ";"1";69,65;30,35;1
"x4";"https://www.vlr.gg/186287/dominatus-vs-hike-digital-esports-challengers-league-indonesia-split-2-winners-b";"Dominatus 37.09%  ";"Hike Digital Esports 62.91%  ";"1";37,09;62,91;0
"x5";"https://www.vlr.gg/183550/globant-emerald-team-vs-kr-blaze-game-changers-2023-latin-america-split-1-round-robin";"Globant Emerald Team 3.88%  ";"KRÜ BLAZE 96.12%  ";"0";3,88;96,12;0
