"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/188319/hike-digital-esports-vs-bigetron-arctic-challengers-league-indonesia-split-2-r3";"Hike Digital Esports 3.32%  ";"Bigetron Arctic 96.68%  ";"0";3,32;96,68;0
"x2";"https://www.vlr.gg/192674/panda-vs-tjd-esports-club-fgc-valorant-invitational-2023-act-2-qualifiers-play-in";"PanDa 55.35%  ";"TJD Esports Club 44.65%  ";"1";55,35;44,65;1
"x3";"https://www.vlr.gg/188320/arf-team-vs-boom-esports-challengers-league-indonesia-split-2-r3";"ARF TEAM 16.05%  ";"BOOM Esports 83.95%  ";"1";16,05;83,95;0
"x4";"https://www.vlr.gg/189027/gamelab-alpha-vs-stream-raiders-nacague-challengers-league-philippines-split-2-regular-season-w2";"GameLab Alpha 41.67%  ";"Stream Raiders Nacague 58.33%  ";"1";41,67;58,33;0
"x5";"https://www.vlr.gg/188322/dewa-united-esports-vs-le-crapaud-challengers-league-indonesia-split-2-r4";"Dewa United Esports 43.4%  ";"Le Crapaud 56.6%  ";"1";43,4;56,6;0
"x6";"https://www.vlr.gg/189028/naos-vs-oasis-gaming-challengers-league-philippines-split-2-regular-season-w2";"NAOS 84.44%  ";"Oasis Gaming 15.56%  ";"1";84,44;15,56;1
"x7";"https://www.vlr.gg/183556/globant-emerald-team-vs-optix-fem-game-changers-2023-latin-america-split-1-round-robin";"Globant Emerald Team 70.52%  ";"Optix Fem 29.48%  ";"1";70,52;29,48;1
"x8";"https://www.vlr.gg/183569/awake-gaming-female-vs-akave-girls-game-changers-2023-latin-america-split-1-round-robin";"Awake Gaming Female 26.87%  ";"Akave Girls 73.13%  ";"0";26,87;73,13;0
