"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/186419/weibo-gaming-vs-invincible-gaming-fgc-valorant-invitational-2023-act-1-d5";"Weibo Gaming 94.59%  ";"Invincible Gaming 5.41%  ";"1";94,59;5,41;1
"x2";"https://www.vlr.gg/184458/paper-rex-vs-detonation-focusme-champions-tour-2023-pacific-league-w1";"Paper Rex 30.65%  ";"DetonatioN FocusMe 69.35%  ";"1";30,65;69,35;0
"x3";"https://www.vlr.gg/186420/dragon-ranger-gaming-vs-bilibili-gaming-fgc-valorant-invitational-2023-act-1-d5";"Dragon Ranger Gaming 16.33%  ";"Bilibili Gaming 83.67%  ";"1";16,33;83,67;0
"x4";"https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1";"Team Secret 77.09%  ";"Talon Esports 22.91%  ";"1";77,09;22,91;1
"x5";"https://www.vlr.gg/186421/attacking-soul-esports-vs-kone-esc-fgc-valorant-invitational-2023-act-1-d5";"Attacking Soul Esports 8.75%  ";"KONE eSC 91.25%  ";"1";8,75;91,25;0
"x6";"https://www.vlr.gg/187937/case-esports-vs-papara-supermassive-surfshark-valorant-challenge-2-main-event-lbf";"Case Esports 25.23%  ";"Papara SuperMassive 74.77%  ";"1";25,23;74,77;0
"x7";"https://www.vlr.gg/185892/orangutan-vs-aster-army-challengers-league-south-asia-split-1-w2";"Orangutan 91.45%  ";"Aster Army 8.55%  ";"1";91,45;8,55;1
"x8";"https://www.vlr.gg/186046/six-karma-vs-e-xolos-lazer-challengers-league-latam-north-ace-split-1-lbf";"Six Karma 14.62%  ";"E-Xolos LAZER 85.38%  ";"1";14,62;85,38;0
