"";"V1";"V2"
"1";"Bilibili Gaming 76.33%  ";"NewHappy Esports 23.67%  "
"2";"Kingzone 75.78%  ";"All Gamers 24.22%  "
"3";"NORTHEPTION 32.21%  ";"FENNEL 67.79%  "
"4";"Dplus Esports 84.57%  ";"CNJ esports 15.43%  "
"5";"The Mad Men 11.45%  ";"Fancy United Esports 88.55%  "
"6";"TYLOO 78.76%  ";"Nova Esports 21.24%  "
"7";"Made in Thailand 62.37%  ";"CRIT Esports 37.63%  "
"8";"Crazy Raccoon 63.02%  ";"Sengoku Gaming 36.98%  "
"9";"Team OGS 60.13%  ";"Maru Gaming 39.87%  "
"10";"Syko 65.84%  ";"Team Lofi 34.16%  "
"11";"Sharper Esport 61.81%  ";"XERXIA Esports 38.19%  "
"12";"Gank Gaming 59.82%  ";"Four Angry Men 40.18%  "
"13";"Team Heretics 57.42%  ";"Team Liquid 42.58%  "
"14";"TBK Esports 31.53%  ";"Keyd Stars 68.47%  "
"15";"TSM 44.67%  ";"Shopify Rebellion 55.33%  "
"16";"00Nation 61.33%  ";"The Union 38.67%  "
"17";"The Guard 40.66%  ";"FaZe Clan 59.34%  "
