"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/220293/nrg-esports-vs-t1-champions-tour-2023-masters-tokyo-winners-a";"NRG Esports 60.2%  ";"T1 39.8%  ";"1";60,2;39,8;1
"2";"https://www.vlr.gg/220299/attacking-soul-esports-vs-fut-esports-champions-tour-2023-masters-tokyo-elim-b";"Attacking Soul Esports 19.98%  ";"FUT Esports 80.02%  ";"0";19,98;80,02;0
"3";"https://www.vlr.gg/220294/natus-vincere-vs-edward-gaming-champions-tour-2023-masters-tokyo-elim-a";"Natus Vincere 71.86%  ";"EDward Gaming 28.14%  ";"0";71,86;28,14;1
