"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/195671/number-one-player-vs-gank-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ro16";"Number One Player 27.17%  ";"Gank Gaming 72.83%  ";"1";27,17;72,83;0
"x2";"https://www.vlr.gg/193436/northeption-vs-crest-gaming-zst-challengers-league-japan-split-2-d1";"NORTHEPTION 58.25%  ";"Crest Gaming Zst 41.75%  ";"1";58,25;41,75;1
"x3";"https://www.vlr.gg/193896/nongshim-redforce-vs-maru-gaming-world-cyber-games-challengers-league-korea-split-2-w1";"Nongshim RedForce 26.71%  ";"Maru Gaming 73.29%  ";"0";26,71;73,29;0
"x4";"https://www.vlr.gg/189033/gamelab-alpha-vs-oasis-gaming-challengers-league-philippines-split-2-regular-season-w3";"GameLab Alpha 27.45%  ";"Oasis Gaming 72.55%  ";"0";27,45;72,55;0
"x5";"https://www.vlr.gg/194336/team-lofi-vs-team-big-baam-challengers-league-vietnam-split-2-d7";"Team Lofi 36.47%  ";"Team Big BAAM 63.53%  ";"0";36,47;63,53;0
"x6";"https://www.vlr.gg/193263/funcrew-vs-nerdpunt-challengers-league-oceania-split-2-group-stage-w2";"Funcrew 51.45%  ";"NerdPunt 48.55%  ";"0";51,45;48,55;1
"x7";"https://www.vlr.gg/191769/attacking-soul-esports-vs-totoro-gaming-fgc-valorant-invitational-2023-act-1-lr1";"Attacking Soul Esports 25.9%  ";"Totoro Gaming 74.1%  ";"1";25,9;74,1;0
"x8";"https://www.vlr.gg/193897/incheon-on-sla2ers-vs-cnj-esports-world-cyber-games-challengers-league-korea-split-2-w1";"Incheon On Sla2ers 64.92%  ";"CNJ esports 35.08%  ";"1";64,92;35,08;1
"x9";"https://www.vlr.gg/195673/nova-esports-vs-rare-atom-fgc-valorant-invitational-2023-act-2-qualifiers-ro16";"Nova Esports 39.33%  ";"Rare Atom 60.67%  ";"0";39,33;60,67;0
"x10";"https://www.vlr.gg/189610/one-team-esports-vs-roa-challengers-league-taiwan-hong-kong-split-2-r3";"ONE Team Esports 89.39%  ";"ROA 10.61%  ";"1";89,39;10,61;1
"x11";"https://www.vlr.gg/193437/jadeite-vs-fennel-challengers-league-japan-split-2-d1";"Jadeite 46.64%  ";"FENNEL 53.36%  ";"1";46,64;53,36;0
"x12";"https://www.vlr.gg/194337/lazy-vs-the-mad-men-challengers-league-vietnam-split-2-d7";"LAZY 68.55%  ";"The Mad Men 31.45%  ";"1";68,55;31,45;1
"x13";"https://www.vlr.gg/193264/guangzhou-long-lionz-vs-mammoth-esc-challengers-league-oceania-split-2-group-stage-w2";"Guangzhou Long Lionz 64.44%  ";"Mammoth ESC 35.56%  ";"1";64,44;35,56;1
"x14";"https://www.vlr.gg/188032/kizuna-esports-vs-louvre-challengers-league-malaysia-singapore-split-2-d8";"Kizuna Esports 87.79%  ";"Louvre 12.21%  ";"1";87,79;12,21;1
"x15";"https://www.vlr.gg/189034/mvp-esports-vs-stream-raiders-nacague-challengers-league-philippines-split-2-regular-season-w3";"MVP Esports 32.02%  ";"Stream Raiders Nacague 67.98%  ";"1";32,02;67,98;0
"x16";"https://www.vlr.gg/189611/s2-esports-vs-oblivion-force-challengers-league-taiwan-hong-kong-split-2-r3";"S2 Esports 19.97%  ";"Oblivion Force 80.03%  ";"0";19,97;80,03;0
"x17";"https://www.vlr.gg/191770/funplus-phoenix-vs-dragon-ranger-gaming-fgc-valorant-invitational-2023-act-1-lr1";"FunPlus Phoenix 80.28%  ";"Dragon Ranger Gaming 19.72%  ";"1";80,28;19,72;1
"x18";"https://www.vlr.gg/195674/kingzone-vs-panda-fgc-valorant-invitational-2023-act-2-qualifiers-ro16";"Kingzone 50.11%  ";"PanDa 49.89%  ";"1";50,11;49,89;1
"x19";"https://www.vlr.gg/188033/x10-esports-vs-enigma-gaming-challengers-league-malaysia-singapore-split-2-d8";"X10 Esports 74.14%  ";"Enigma Gaming 25.86%  ";"0";74,14;25,86;1
"x20";"https://www.vlr.gg/183950/koi-vs-fut-esports-champions-tour-2023-emea-league-w3";"KOI 63.18%  ";"FUT Esports 36.82%  ";"0";63,18;36,82;1
"x21";"https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3";"Team Liquid 42.12%  ";"FNATIC 57.88%  ";"0";42,12;57,88;0
"x22";"https://www.vlr.gg/193553/00nation-vs-red-canids-challengers-league-brazil-split-2-w2";"00Nation 51.43%  ";"RED Canids 48.57%  ";"0";51,43;48,57;1
"x23";"https://www.vlr.gg/193154/version1-vs-shopify-rebellion-gc-game-changers-2023-series-i-north-america-main-event-ubf";"Version1 51.97%  ";"Shopify Rebellion GC 48.03%  ";"1";51,97;48,03;1
"x24";"https://www.vlr.gg/183561/sunxet-club-fem-vs-kr-blaze-game-changers-2023-latin-america-split-1-round-robin";"SunXet Club Fem 12.91%  ";"KRÜ BLAZE 87.09%  ";"0";12,91;87,09;0
"x25";"https://www.vlr.gg/193554/liberty-vs-the-union-challengers-league-brazil-split-2-w2";"Liberty 39.25%  ";"The Union 60.75%  ";"0";39,25;60,75;0
"x26";"https://www.vlr.gg/193160/moist-moguls-red-vs-xset-game-changers-2023-series-i-north-america-main-event-lr3";"Moist Moguls RED 47.5%  ";"XSET 52.5%  ";"0";47,5;52,5;0
