"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/219744/bonkers-vs-xyz-challengers-league-oceania-split-2-regional-playoffs-lf";"Bonkers 71.38%  ";"xyz 28.62%  ";"1";71,38;28,62;1
"2";"https://www.vlr.gg/221308/orangutan-x-vs-global-esports-phoenix-game-changers-2023-asia-pacific-open-2-playoffs-lr3";"Orangutan X 68.69%  ";"Global Esports Phoenix 31.31%  ";"1";68,69;31,31;1
"3";"https://www.vlr.gg/211913/aster-army-vs-reckoning-esports-challengers-league-south-asia-split-2-lbf";"Aster Army 42.19%  ";"Reckoning Esports 57.81%  ";"0";42,19;57,81;0
"4";"https://www.vlr.gg/217617/anonymo-esports-vs-enterprise-esports-challengers-league-east-surge-split-2-lr1";"Anonymo Esports 64.99%  ";"Enterprise Esports 35.01%  ";"0";64,99;35,01;1
"5";"https://www.vlr.gg/214675/mandatory-vs-zerance-challengers-league-france-revolution-split-2-sf";"Mandatory 70.63%  ";"Zerance 29.37%  ";"1";70,63;29,37;1
"6";"https://www.vlr.gg/220995/team-falcons-vs-team-raad-challengers-league-mena-resilience-lan-finals-gf";"Team Falcons 60.96%  ";"Team RA'AD 39.04%  ";"1";60,96;39,04;1
"7";"https://www.vlr.gg/217615/diamant-esports-vs-acend-challengers-league-east-surge-split-2-ubf";"Diamant Esports 30.7%  ";"Acend 69.3%  ";"0";30,7;69,3;0
"8";"https://www.vlr.gg/212537/moist-moguls-vs-the-guard-challengers-league-north-america-lbf";"Moist Moguls 58.29%  ";"The Guard 41.71%  ";"0";58,29;41,71;1
