"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"x1";"https://www.vlr.gg/189378/scarz-vs-crest-gaming-zst-challengers-league-japan-split-2-uf";"SCARZ 37.98%  ";"Crest Gaming Zst 62.02%  ";"1";37,98;62,02;0
"x2";"https://www.vlr.gg/186426/invincible-gaming-vs-funplus-phoenix-fgc-valorant-invitational-2023-act-1-d7";"Invincible Gaming 1.86%  ";"FunPlus Phoenix 98.14%  ";"0";1,86;98,14;0
"x3";"https://www.vlr.gg/188315/dominatus-vs-dewa-united-esports-challengers-league-indonesia-split-2-r2";"Dominatus 18.29%  ";"Dewa United Esports 81.71%  ";"1";18,29;81,71;0
"x4";"https://www.vlr.gg/189379/jadeite-vs-next-esports-challengers-league-japan-split-2-uf";"Jadeite 45.48%  ";"Next Esports 54.52%  ";"1";45,48;54,52;0
"x5";"https://www.vlr.gg/189023/gamelab-alpha-vs-rambutan-ni-tatay-challengers-league-philippines-split-2-regular-season-w1";"GameLab Alpha 30.88%  ";"Rambutan ni Tatay 69.12%  ";"1";30,88;69,12;0
"x6";"https://www.vlr.gg/186427/totoro-gaming-vs-bilibili-gaming-fgc-valorant-invitational-2023-act-1-d7";"Totoro Gaming 99.51%  ";"Bilibili Gaming 0.49%  ";"1";99,51;0,49;1
"x7";"https://www.vlr.gg/188124/one-team-esports-vs-anti-eco-eco-club-challengers-league-taiwan-hong-kong-split-2-r1";"ONE Team Esports 39.63%  ";"Anti Eco Eco Club 60.37%  ";"1";39,63;60,37;0
"x8";"https://www.vlr.gg/188316/bigetron-arctic-vs-arf-team-challengers-league-indonesia-split-2-r2";"Bigetron Arctic 85.3%  ";"ARF TEAM 14.7%  ";"1";85,3;14,7;1
"x9";"https://www.vlr.gg/188348/attack-all-around-vs-xerxia-esports-challengers-league-thailand-split-2-w1";"Attack All Around 28.08%  ";"XERXIA Esports 71.92%  ";"1";28,08;71,92;0
"x10";"https://www.vlr.gg/189380/igzist-vs-northeption-challengers-league-japan-split-2-uf";"IGZIST 26.14%  ";"NORTHEPTION 73.86%  ";"0";26,14;73,86;0
"x11";"https://www.vlr.gg/186428/number-one-player-vs-kone-esc-fgc-valorant-invitational-2023-act-1-d7";"Number One Player 21.79%  ";"KONE eSC 78.21%  ";"0";21,79;78,21;0
"x12";"https://www.vlr.gg/188125/ghost-commandos-vs-oblivion-force-challengers-league-taiwan-hong-kong-split-2-r1";"Ghost CommandoS 34.07%  ";"Oblivion Force 65.93%  ";"0";34,07;65,93;0
"x13";"https://www.vlr.gg/188349/team-nkt-vs-full-sense-challengers-league-thailand-split-2-w1";"Team NKT 10.52%  ";"FULL SENSE 89.48%  ";"0";10,52;89,48;0
"x14";"https://www.vlr.gg/185895/mlt-esports-vs-gods-reign-challengers-league-south-asia-split-1-w3";"MLT Esports 66.77%  ";"Gods Reign 33.23%  ";"0";66,77;33,23;1
"x15";"https://www.vlr.gg/173220/team-liquid-vs-fut-esports-champions-tour-2023-emea-league-w1";"Team Liquid 59.7%  ";"FUT Esports 40.3%  ";"1";59,7;40,3;1
"x16";"https://www.vlr.gg/173221/koi-vs-team-vitality-champions-tour-2023-emea-league-w1";"KOI 56.36%  ";"Team Vitality 43.64%  ";"0";56,36;43,64;1
"x17";"https://www.vlr.gg/186043/9z-team-vs-infinity-challengers-league-latam-south-fire-split-1-gf";"9z Team 39.9%  ";"INFINITY 60.1%  ";"1";39,9;60,1;0
