"";"V1";"V2"
"1";"T1 52.38%  ";"DetonatioN FocusMe 47.62%  "
"2";"Royal Never Give Up 69.36%  ";"Kingzone 30.64%  "
"3";"ZETA DIVISION 33.45%  ";"Team Secret 66.55%  "
"4";"Four Angry Men 71.19%  ";"NewHappy Esports 28.81%  "
"5";"Panthers Esports 52.79%  ";"Team Vikings 47.21%  "
"6";"Fire Flux Esports 71.16%  ";"İstanbul Wildcats 28.84%  "
"7";"Medal Esports 56.92%  ";"True Rippers 43.08%  "
"8";"SAW 72.44%  ";"Impulse GW 27.56%  "
"9";"MOUZ 54.79%  ";"CGN Esports 45.21%  "
"10";"Anonymo Esports 65.86%  ";"GONext Esports 34.14%  "
"11";"FTW Esports 14.88%  ";"GTZ Esports 85.12%  "
"12";"B8 Esports 39.56%  ";"NOM Esports 60.44%  "
"13";"Zerance 33.9%  ";"BLX UTD 66.1%  "
"14";"EX0TIK GAMING 23.09%  ";"EGN Esports 76.91%  "
"15";"Angry Titans 36.95%  ";"ALTERNATE aTTaX 63.05%  "
"16";"Zero Tenacity 34.48%  ";"Enterprise Esports 65.52%  "
"17";"Gentle Mates 63%  ";"WYLDE 37%  "
"18";"Galakticos 22.25%  ";"S2G Esports 77.75%  "
"19";"GMT Esports 39.06%  ";"DSYRE 60.94%  "
"20";"Joblife 47.14%  ";"3DMAX 52.86%  "
"21";"NRG Esports 29.05%  ";"100 Thieves 70.95%  "
"22";"Outplayed 29.52%  ";"QLASH 70.48%  "
"23";"Diamant Esports 62.9%  ";"Rapid Ninjas 37.1%  "
"24";"Solary 67.83%  ";"Mandatory 32.17%  "
"25";"Axolotl 30.64%  ";"Macko Esports 69.36%  "
"26";"VALIANT 72.39%  ";"Akroma 27.61%  "
"27";"MIBR 43.91%  ";"FURIA 56.09%  "
