"";"V1";"V2"
"1";"Royal Never Give Up 77.17%  ";"Nova Esports 22.83%  "
"2";"Jadeite 53.19%  ";"IGZIST 46.81%  "
"3";"CNJ esports 33.58%  ";"SLT Seongam 66.42%  "
"4";"ZOL Esports 43.28%  ";"Stream Raiders Nacague 56.72%  "
"5";"Guangzhou Long Lionz 44.97%  ";"xyz 55.03%  "
"6";"Maru Gaming 50.56%  ";"Gwangju Shadow 49.44%  "
"7";"FULL SENSE 78.22%  ";"The Infinity Esport 21.78%  "
"8";"NORTHEPTION 57.53%  ";"SCARZ 42.47%  "
"9";"ROA 20.67%  ";"Anti Eco Eco Club 79.33%  "
"10";"Koopa Troopas 39.12%  ";"Funcrew 60.88%  "
"11";"BLEED 85.08%  ";"Louvre 14.92%  "
"12";"GameLab Alpha 31.98%  ";"Action PH 68.02%  "
"13";"CRIT Esports 45.58%  ";"Attack All Around 54.42%  "
"14";"Ghetto Artist 21.04%  ";"Oblivion Force 78.96%  "
"15";"NewHappy Esports 33.12%  ";"Number One Player 66.88%  "
"16";"Todak 72.33%  ";"Enigma Gaming 27.67%  "
"17";"FUT Esports 39.58%  ";"FNATIC 60.42%  "
"18";"9z Team 62.48%  ";"Furious Gaming 37.52%  "
"19";"Team Vitality 27.46%  ";"Natus Vincere 72.54%  "
"20";"M80 54.08%  ";"TSM 45.92%  "
"21";"INFINITY 71.83%  ";"EBRO Gaming 28.17%  "
"22";"FaZe Clan 37.17%  ";"MAD Lions 62.83%  "
"23";"All Knights 64.76%  ";"Optix 35.24%  "
