"";"V1";"V2"
"1";"JiJieHao 39.97%  ";"Trace Esports 60.03%  "
"2";"TYLOO 53.14%  ";"KunPeng Gaming 46.86%  "
"3";"Hike Digital Esports 36.42%  ";"ARF TEAM 63.58%  "
"4";"Dplus Esports 74.52%  ";"SLT Seongam 25.48%  "
"5";"MVP Esports 20.45%  ";"Rambutan ni Tatay 79.55%  "
"6";"Syko 22.92%  ";"Team Big BAAM 77.08%  "
"7";"Gwangju Shadow 32.86%  ";"Our Growth Story 67.14%  "
"8";"Douyu Gaming 39.13%  ";"Royal Never Give Up 60.87%  "
"9";"BOOM Esports 54.86%  ";"Dominatus 45.14%  "
"10";"The Mad Men 61.44%  ";"TwoKay 38.56%  "
"11";"BLEED 71.88%  ";"Teo Teo Teo 28.12%  "
"12";"ZOL Esports 26%  ";"Oasis Gaming 74%  "
"13";"EDward Gaming 69.02%  ";"FunPlus Phoenix 30.98%  "
"14";"Invincible Gaming 55.1%  ";"Invictus Gaming 44.9%  "
"15";"Bikini Bottom Pratahouse 31.72%  ";"Todak 68.28%  "
"16";"Natus Vincere 67.98%  ";"Team Heretics 32.02%  "
"17";"Evil Geniuses GC 58.27%  ";"Moist Moguls RED 41.73%  "
"18";"Globant Emerald Team 76.3%  ";"Undead Gaming Fem 23.7%  "
"19";"ODDIK 67.97%  ";"Keyd Stars 32.03%  "
"20";"Leviatán GC 53.02%  ";"Akave Girls 46.98%  "
"21";"Complexity GX3 54.68%  ";"XSET 45.32%  "
