"";"V1";"V2"
"1";"Singapore 33.71%  ";"Malaysia 66.29%  "
"2";"Indonesia 40.84%  ";"Vietnam 59.16%  "
"3";"Philippines 74.33%  ";"Singapore 25.67%  "
"4";"Indonesia 73.68%  ";"Cambodia 26.32%  "
"5";"Vietnam 65.73%  ";"Malaysia 34.27%  "
"6";"Guild X 76.2%  ";"Karmine Corp GC 23.8%  "
"7";"KPI Shine 27.36%  ";"Ninjas in Pyjamas Lightning 72.64%  "
"8";"Case Hydra 42.32%  ";"Acend Rising 57.68%  "
"9";"Team Falcons Vega 31.7%  ";"GeeKay Esports Cherry 68.3%  "
"10";"who cars? 74.92%  ";"Coalesce 25.08%  "
"11";"Alliance Coven 36.51%  ";"Natus Vincere Celestials 63.49%  "
"12";"G2 Gozen 75.06%  ";"FOKUS Sakura 24.94%  "
"13";"Rebels Velvet 38.39%  ";"CBA 61.61%  "
"14";"BBL Queens 79.11%  ";"UNtapped 20.89%  "
"15";"E-Xolos LAZER 30.83%  ";"RETA Esports 69.17%  "
"16";"Skull Cracker 39.41%  ";"19esports 60.59%  "
