"";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev"
"1";"https://www.vlr.gg/220446/team-liquid-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubsf";"Team Liquid 49.93%  ";"Evil Geniuses 50.07%  ";"0";49,93;50,07;0
"2";"https://www.vlr.gg/220445/paper-rex-vs-fnatic-champions-tour-2023-masters-tokyo-ubsf";"Paper Rex 47.49%  ";"FNATIC 52.51%  ";"0";47,49;52,51;0
