"";"b";"V1";"V2";"ganhador";"prev"
"x1";"https://www.vlr.gg/183708/monarch-effect-vs-dd-team-fgc-valorant-invitational-2023-act-1-qualifiers-ro16";54,1681236303107;45,8318763696893;"1";1
"x2";"https://www.vlr.gg/178661/bigetron-arctic-vs-dewa-united-esports-challengers-league-indonesia-split-1-ubsf";48,7183781455132;51,2816218544868;"1";0
"x3";"https://www.vlr.gg/179444/arf-team-vs-dominatus-challengers-league-indonesia-split-1-lr1";49,6737174849578;50,3262825150422;"1";0
"x4";"https://www.vlr.gg/183709/douyu-gaming-vs-nova-esports-fgc-valorant-invitational-2023-act-1-qualifiers-ro16";46,3172354632285;53,6827645367715;"0";0
"x5";"https://www.vlr.gg/178639/funcrew-vs-next-gen-challengers-league-oceania-split-1-lr1";49,6723808482554;50,3276191517446;"0";0
"x6";"https://www.vlr.gg/178625/abaddon-abyss-vs-gamelab-alpha-challengers-league-philippines-split-1-lr1";41,1937066874401;58,8062933125599;"0";0
"x7";"https://www.vlr.gg/183710/number-one-player-vs-dragon-ranger-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-ro16";63,4048832987283;36,5951167012717;"1";1
"x8";"https://www.vlr.gg/178640/honey-badgers-vs-the-who-plus-two-challengers-league-oceania-split-1-lr1";51,0416592668203;48,9583407331797;"1";1
"x9";"https://www.vlr.gg/179376/oblivion-force-vs-lp33-challengers-league-taiwan-hong-kong-split-1-lr1";50,6934362054005;49,3065637945995;"1";1
"x10";"https://www.vlr.gg/164032/x10-esports-vs-hey-yakiniku-challengers-league-malaysia-singapore-split-1-lr1";55,2641807108142;44,7358192891858;"1";1
"x11";"https://www.vlr.gg/178626/stream-raiders-nacague-vs-action-ph-challengers-league-philippines-split-1-lr1";55,3493302308092;44,6506697691908;"0";1
"x12";"https://www.vlr.gg/179377/anti-eco-eco-club-vs-axx-challengers-league-taiwan-hong-kong-split-1-lr1";60,4505994302442;39,5494005697558;"1";1
"x13";"https://www.vlr.gg/183707/tjd-esports-club-vs-four-angry-men-fgc-valorant-invitational-2023-act-1-qualifiers-ro16";47,4023678167644;52,5976321832356;"0";0
"x14";"https://www.vlr.gg/183711/j-team-vs-rare-atom-fgc-valorant-invitational-2023-act-1-qualifiers-ro16";73,2495866917527;26,7504133082473;"0";1
"x15";"https://www.vlr.gg/164033/todak-vs-louvre-challengers-league-malaysia-singapore-split-1-lr1";43,6692912651714;56,3307087348286;"0";0
"x16";"https://www.vlr.gg/167054/oddik-vs-red-canids-challengers-league-brazil-split-1-w7";48,3412895931756;51,6587104068244;"0";0
"x17";"https://www.vlr.gg/179412/furious-gaming-vs-ebro-gaming-challengers-league-latam-south-fire-split-1-w2";30,8629970566676;69,1370029433324;"0";0
"x18";"https://www.vlr.gg/169004/g2-esports-vs-turtle-troop-challengers-league-north-america-w4";48,0980455834797;51,9019544165203;"0";0
"x19";"https://www.vlr.gg/167055/liberty-vs-keyd-stars-challengers-league-brazil-split-1-w7";67,2810365617729;32,7189634382271;"0";1
"x20";"https://www.vlr.gg/169005/the-guard-vs-mad-lions-challengers-league-north-america-w4";47,804948291815;52,195051708185;"1";0
