"";"V1";"V2"
"1";"Team Secret 49.01%  ";"Gen.G 50.99%  "
"2";"ZETA Gaming 80.05%  ";"AYM Esports 19.95%  "
"3";"eMasters 85.02%  ";"Coalesce 14.98%  "
"4";"UCAM Tokiers 42.35%  ";"KPI Gaming 57.65%  "
"5";"BLX UTD 19.78%  ";"Mandatory 80.22%  "
"6";"AEX-1 24.33%  ";"Laterious 75.67%  "
"7";"Movistar Riders 8.01%  ";"Team Queso 91.99%  "
"8";"SBG 56.16%  ";"VALIANT 43.84%  "
"9";"Galakticos 6.71%  ";"İstanbul Wildcats 93.29%  "
"10";"Ramboot Club 25.78%  ";"Case Esports 74.22%  "
"11";"3DMAX 61.41%  ";"Akroma 38.59%  "
"12";"Evil Geniuses 46.94%  ";"100 Thieves 53.06%  "
"13";"Unicorns of Love 59.41%  ";"Angry Titans 40.59%  "
"14";"Falcons 47.98%  ";"Rebels Gaming 52.02%  "
"15";"Solary 96.57%  ";"Zerance 3.43%  "
"16";"Joblife 24.16%  ";"WYLDE 75.84%  "
