"";"V1";"V2"
"1";"Paper Rex 28.66%  ";"DRX 71.34%  "
"2";"KONE eSC 65.5%  ";"Attacking Soul Esports 34.5%  "
"3";"JiJieHao 62.03%  ";"Douyu Gaming 37.97%  "
"4";"Team Secret 69.31%  ";"Rex Regum Qeon 30.69%  "
"5";"Bilibili Gaming 79.62%  ";"Rare Atom 20.38%  "
"6";"Galatasaray Esports 29.96%  ";"S2G Esports 70.04%  "
"7";"FTW Esports 33.32%  ";"VIKINGS Fourteen 66.68%  "
"8";"Unicorns of Love 41.14%  ";"CGN Esports 58.86%  "
"9";"Rapid Ninjas 66.32%  ";"B8 Esports 33.68%  "
"10";"Gods Reign 79.1%  ";"Reckoning Esports 20.9%  "
"11";"Panthers Esports 19.87%  ";"EGN Esports 80.13%  "
"12";"Zero Tenacity 22.73%  ";"Acend 77.27%  "
"13";"BLX UTD 49.69%  ";"WYLDE 50.31%  "
"14";"EX0TIK GAMING 64.65%  ";"Impulse GW 35.35%  "
"15";"Angry Titans 28.45%  ";"MOUZ 71.55%  "
"16";"GONext Esports 43.42%  ";"Enterprise Esports 56.58%  "
"17";"Akroma 41.36%  ";"Mandatory 58.64%  "
"18";"Digital Athletics 71.48%  ";"Fenerbahçe Esports 28.52%  "
"19";"Axolotl 14.72%  ";"GMT Esports 85.28%  "
"20";"SAW 62.4%  ";"GTZ Esports 37.6%  "
"21";"Gentle Mates 47.59%  ";"Solary 52.41%  "
"22";"Cloud9 45.18%  ";"100 Thieves 54.82%  "
"23";"QLASH 56.48%  ";"Macko Esports 43.52%  "
"24";"Diamant Esports 38.19%  ";"Anonymo Esports 61.81%  "
"25";"Joblife 64.69%  ";"Zerance 35.31%  "
"26";"Outplayed 18.99%  ";"HMBLE 81.01%  "
"27";"VALIANT 66.04%  ";"3DMAX 33.96%  "
"28";"NRG Esports 57.77%  ";"MIBR 42.23%  "
